"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"yeeS",-1.03887714180732,0.51943857090366,-2.33241926892104,0.0591275311152328,0.12694373261912,-5.52611041711031
"matP",0.673384283067356,4.33096125606167,2.33204463272433,0.0591576096911967,0.12694373261912,-5.52664048818354
"sbmC",0.597101115402071,5.35740175686011,2.33138827118564,0.0592103458492754,0.126979186245595,-5.52756916337236
"bfr",0.364566100552294,9.20017282271256,2.33102546089707,0.0592395173730738,0.126979186245595,-5.52808249341743
"clpS",0.729846452351129,2.92665942886449,2.32974230447852,0.0593428093416506,0.12713043104411,-5.52989797052908
"mntS",-1.73715321517409,0.868576607587044,-2.3285107609857,0.059442123658162,0.12727299244118,-5.53164038631581
"cydH",-1.8073747071319,0.90368735356595,-2.32589289505708,0.0596538116589674,0.127628423520639,-5.53534408107618
"cirA",0.600131821435623,2.64648469792522,2.32564564342951,0.0596738458067663,0.127628423520639,-5.53569387814827
"gadB",-0.260226700214614,7.67589815369081,-2.32383397068825,0.0598208555739286,0.127872428755717,-5.53825687978098
"ydjI",-1.34750464557004,2.90844451574467,-2.32299340533794,0.0598891924773494,0.127948087778892,-5.53944601258692
"macB",0.27031298086635,5.98235434111246,2.32037844133499,0.0601023078454217,0.128332800259273,-5.54314523952067
"chaA",-0.523656089786206,4.0469188721971,-2.31818017594858,0.0602820758996827,0.128612284880985,-5.54625485028345
"msrQ",0.62290982685493,3.17418311251757,2.31796837484957,0.0602994260474441,0.128612284880985,-5.54655445197339
"elaB",0.752820917806038,4.73933963343417,2.31512670156739,0.0605327129770292,0.129038999562449,-5.55057400234181
"rzpD",1.23200007959745,3.11293969454662,2.31267001733574,0.0607351538875323,0.129333799596435,-5.5540488053387
"mtlA",0.243679989781514,6.27225183838542,2.31259084274384,0.0607416899468426,0.129333799596435,-5.55416078927499
"ypjA",0.420763389052023,3.4991019825096,2.31223708826267,0.0607709022305597,0.129333799596435,-5.55466113472839
"lpxH",-0.313697685185737,6.89122428333664,-2.3058774765843,0.0612985744280106,0.130385357655199,-5.56365546194177
"srsR",-0.744620878953977,2.8346767741112,-2.29947295117668,0.0618348070205219,0.131384144435237,-5.57271207369129
"ruvC",0.321951640136631,7.7770172393645,2.29946124070514,0.0618357919741536,0.131384144435237,-5.57272863223735
"cpxP",-1.90389672372987,2.68695878634341,-2.29749512460098,0.0620013918361311,0.131603333914706,-5.57550864755622
"cobU",0.756144244421429,5.00469665752021,2.29743195413953,0.0620067201503377,0.131603333914706,-5.57559796617006
"gcl",0.495152855118518,2.52492960409271,2.29486814703215,0.0622233760684909,0.131991039131632,-5.5792228994596
"rng",-0.239729515458286,7.27964082854023,-2.29018124237339,0.0626214880089954,0.132763023704661,-5.58584908265138
"dsbG",0.433092966390147,5.46127397891374,2.28832242260439,0.062780113035205,0.133026709781089,-5.58847680825531
"agaA",-0.706733302636166,1.95621897203146,-2.28714600511209,0.0628807205870071,0.133167240327119,-5.5901397913033
"tynA",0.57093180327053,2.00393709772946,2.2864828427834,0.0629375084382519,0.133214867996823,-5.59107721552006
"rsmD",0.35853969704238,6.2680013229839,2.28456557569063,0.0631019883877497,0.133490263016351,-5.59378731186308
"fucO",-0.446487323921182,4.26575834785978,-2.28412313573635,0.0631400083084619,0.133493167651195,-5.59441269094757
"tdcC",0.818110676349933,2.20597403672573,2.28374988164782,0.0631721014786037,0.133493167651195,-5.59494027180168
"yidQ",0.780013533344479,4.00765158423667,2.28211455060364,0.0633129110945283,0.133706201341292,-5.59725169161544
"ybeR",1.34137168557411,1.23734245262781,2.2817799298229,0.0633417637662145,0.133706201341292,-5.5977246412623
"aaeR",-0.340267356823182,6.27738030597723,-2.28009170173499,0.0634875401593183,0.133941122204667,-5.60011070234349
"argA",-0.304763685521676,8.28586285781125,-2.27904034910035,0.063578499633347,0.134060202267057,-5.60159658002627
"menF",-0.228390607494216,5.85661868906347,-2.27550249149107,0.0638855808366009,0.13459763087845,-5.60659632827084
"yjfZ",0.741672515195013,1.99764634501556,2.27530594829833,0.0639026857208708,0.13459763087845,-5.60687407161915
"lacZ",-0.587662972148027,1.95241834922338,-2.272694559046,0.0641304042724726,0.135004059725899,-5.61056419060681
"dkgB",-0.561619600525651,2.75997147034697,-2.27147677543545,0.0642368860993808,0.135154965119174,-5.61228493198814
"speG",0.265946185977688,7.11784219204083,2.26919848124517,0.0644365922612372,0.135501745718812,-5.61550402634947
"ydcT",-0.928322735683543,2.14813913915401,-2.26650974502079,0.0646731073138463,0.13592551342369,-5.61930277879188
"yicL",0.258540325315103,4.82745583594647,2.26467859577392,0.0648347013444196,0.136191444035547,-5.6218897271855
"pdeK",-0.320903832435083,5.36825944467621,-2.26262186555896,0.0650167030492963,0.136462796684767,-5.62479519599285
"ydfO",-0.857216308562935,2.23566157277888,-2.2624250245318,0.0650341495014172,0.136462796684767,-5.62507325681617
"mdtK",0.238859089029934,6.42706625122427,2.26109998793877,0.065151717132396,0.136635674590835,-5.62694498180931
"ycbV",0.447811978671622,2.82215946366058,2.25961829235232,0.0652834464964838,0.136838049753018,-5.62903791110879
"btuF",-0.36084063857268,5.39324752110164,-2.25728978730071,0.0654910206776166,0.137151873012738,-5.63232678493728
"galM",-0.289499464067338,7.35727505465994,-2.25714678364308,0.0655037910501105,0.137151873012738,-5.63252876125838
"artJ",-0.272395524311711,8.96197764172794,-2.25591840483832,0.0656135931728907,0.137307756402752,-5.63426366855407
"ycfH",-0.348332217665764,6.50048710185589,-2.25387745148077,0.0657964526494787,0.137604787931407,-5.6371460706982
"ydbK",-0.249015188075132,6.6354176680166,-2.25354388056218,0.0658263892833559,0.137604787931407,-5.63761714913478
"idnD",-1.0182775477557,1.51525932156885,-2.25277430565552,0.0658955094982857,0.137675179608037,-5.63870394567712
"ygdD",0.594668371399453,3.53975979221386,2.25090043913564,0.0660641283618816,0.137920990580367,-5.64135011385967
"iscU",-0.383909388052628,7.98008016643647,-2.25067791140846,0.0660841821498617,0.137920990580367,-5.64166434419851
"tesA",0.378627703068924,6.0719189595036,2.24840902589683,0.0662890111478366,0.138274177925992,-5.64486809550428
"pflD",-0.417060941813935,2.54915688780282,-2.24618496288342,0.0664904336309814,0.138619884177526,-5.64800832172348
"yqgF",-0.676268277595565,5.09946084532584,-2.24292328122614,0.0667869781281651,0.139163424382936,-5.65261316914586
"ydiF",0.50496579744609,1.58822703293836,2.24002263712453,0.0670518511970951,0.139640423619044,-5.65670787011299
"ddpB",-0.751883038666866,0.906538373312801,-2.23926248676392,0.0671214446387069,0.139710445325154,-5.65778086974743
"ynfH",-0.292876511223248,7.31172658296858,-2.23818493284302,0.0672202255260718,0.13977970943839,-5.65930185516602
"degS",-0.274857586862596,5.78111891983768,-2.23811437888237,0.0672266985661466,0.13977970943839,-5.65940144124628
"ydfK",-1.31194658525579,1.89433172024104,-2.23707336252247,0.0673222828024473,0.139849062738871,-5.66087079456494
"rseB",-0.294983333283547,7.09372560891371,-2.23696689102749,0.067332066766655,0.139849062738871,-5.66102107179472
"yccF",-0.511104524133948,4.06802272596858,-2.23182868023908,0.0678059887480891,0.140758129501645,-5.66827262033626
"ydeE",0.321692212533666,4.7469983301077,2.23040638707395,0.0679377840807722,0.140956385347072,-5.67027966024739
"crcB",0.86674516173526,4.06509709711792,2.22979012234137,0.0679949720674665,0.140999717837715,-5.67114925683449
