"Gene","logFC","adj.P.Val","P","SignedZ"
"ppdC",-0.351887346251361,0.577578898027645,0.577578898027645,-0.556924670532073
"zwf",0.0806892245204948,0.578299252508408,0.578299252508408,0.555870695541519
"dcd",0.124718132645556,0.579710066021696,0.579710066021696,0.553808272759108
"uxuR",-0.0819059588683959,0.579710066021696,0.579710066021696,-0.553808272759108
"kduI",0.144013893116171,0.580639692820608,0.580639692820608,0.552450568241526
"emtA",-0.119835109665296,0.580845453740316,0.580845453740316,-0.552150195515968
"ymfM",-0.485454049517503,0.582254322153668,0.582254322153668,-0.550094845145763
"ybeU",-0.404315733203268,0.582254322153668,0.582254322153668,-0.550094845145763
"artI",-0.114231642378478,0.582629396235461,0.582629396235461,-0.549548054098103
"dtpD",0.120696459580223,0.582797264177178,0.582797264177178,0.549303385832679
"ytfF",-0.288749613833073,0.584062231070502,0.584062231070502,-0.547460746714351
"yibA",0.162363751924068,0.584697511809558,0.584697511809558,0.546536053509178
"yhaV",-0.32508963236519,0.585649531901026,0.585649531901026,-0.54515119925696
"bglJ",0.307994735085864,0.585649531901026,0.585649531901026,0.54515119925696
"borD",0.30480562510605,0.585649531901026,0.585649531901026,0.54515119925696
"nimR",0.198855761591682,0.585649531901026,0.585649531901026,0.54515119925696
"pepQ",0.105802847154739,0.58617429685409,0.58617429685409,0.54438829780596
"dapF",-0.0759873527417554,0.58617429685409,0.58617429685409,-0.54438829780596
"ssuE",0.316371208840181,0.588041287785142,0.588041287785142,0.541676635874546
"bglA",0.0797136146246449,0.588405030312013,0.588405030312013,0.541148791498613
"yfhL",-0.43630682433968,0.588693932372255,0.588693932372255,-0.540729659157757
"tldD",-0.101937353031524,0.588693932372255,0.588693932372255,-0.540729659157757
"ogrK",0.478825582651217,0.589505490678833,0.589505490678833,0.539552777100469
"ybeF",-0.240259507450292,0.589505490678833,0.589505490678833,-0.539552777100469
"pldA",0.126285707915054,0.589505490678833,0.589505490678833,0.539552777100469
"kdpD",0.123557151295888,0.589505490678833,0.589505490678833,0.539552777100469
"atpE",0.228651805023498,0.589838198251005,0.589838198251005,0.539070516887972
"yebZ",-0.108896129026263,0.590234790435012,0.590234790435012,-0.5384958195566
"gshA",-0.0871157161191304,0.591828478277896,0.591828478277896,-0.536188213932609
"infB",0.0757218428091953,0.592077127510213,0.592077127510213,0.535828435989494
"hyfB",-0.418669512673947,0.592322090620897,0.592322090620897,-0.53547405941534
"yadC",-0.274828000374626,0.592569319075064,0.592569319075064,-0.535116473844495
"yffL",-0.155003174482649,0.592835609394338,0.592835609394338,-0.534731394152876
"hldE",-0.0780681951649561,0.593043303747388,0.593043303747388,-0.53443110451938
"rpoB",0.0819868563127224,0.593181616254229,0.593181616254229,0.534231155606287
"fumC",0.131928875586306,0.593467743551963,0.593467743551963,0.533817588751545
"yfeK",0.448753022570358,0.594113491042137,0.594113491042137,0.532884564112181
"yeeL",0.197385073831446,0.594113491042137,0.594113491042137,0.532884564112181
"amiD",0.152852972820107,0.594504504218834,0.594504504218834,0.5323198242692
"yieK",-0.169662888131357,0.596078487924079,0.596078487924079,-0.530048235372245
"putA",0.166094055841663,0.596078487924079,0.596078487924079,0.530048235372245
"ftsL",-0.153240414826091,0.596078487924079,0.596078487924079,-0.530048235372245
"glrK",0.121516893310612,0.596078487924079,0.596078487924079,0.530048235372245
"nudF",0.11263711245297,0.596348936887327,0.596348936887327,0.52965819627742
"hcaC",0.438367981626376,0.599012599767516,0.599012599767516,0.525820974809778
"frlC",0.223189417396059,0.599360958388073,0.599360958388073,0.52531970929995
"ybgP",0.325677178915911,0.600180385684928,0.600180385684928,0.524141126382847
"yebG",-0.14761503130233,0.600180385684928,0.600180385684928,-0.524141126382847
"gapC",-0.0909961162757102,0.600231828270718,0.600231828270718,-0.524067160771311
"symE",-0.268638259614782,0.602504021569138,0.602504021569138,-0.520802987717627
"yjjB",0.320430981462203,0.602942178815069,0.602942178815069,0.520174181327872
"uvrB",-0.0905521756010742,0.603383405944776,0.603383405944776,-0.5195411770727
"gyrB",-0.0778887060460515,0.603383405944776,0.603383405944776,-0.5195411770727
"ddpD",-0.323689819879913,0.603947270016235,0.603947270016235,-0.518732535212462
"ybdN",0.190259060445456,0.605104293110529,0.605104293110529,0.517074300152241
"citE",0.562465175910056,0.60889506188122,0.60889506188122,0.511651319260929
"astB",-0.270506861973853,0.610545750085015,0.610545750085015,-0.509294589092649
"yraR",-0.191954719568067,0.610545750085015,0.610545750085015,-0.509294589092649
"dgcE",-0.115452097491579,0.610545750085015,0.610545750085015,-0.509294589092649
"glpX",0.0895283107105341,0.610545750085015,0.610545750085015,0.509294589092649
