"Gene","logFC","adj.P.Val","P","SignedZ"
"fepE",-2.536544461,0.00150979674507472,0.00150979674507472,-3.17279387374721
"dapB",1.42048198283334,0.00150979674507472,0.00150979674507472,3.17279387374721
"nhaR",-1.21554153783333,0.00150979674507472,0.00150979674507472,-3.17279387374721
"astB",-1.34147201033333,0.0015233114475967,0.0015233114475967,-3.17020553334656
"otsB",-3.921608595,0.00155736736060938,0.00155736736060938,-3.16377576137993
"ydiZ",-3.35264613266666,0.00155736736060938,0.00155736736060938,-3.16377576137993
"ompF",1.39722396,0.00155736736060938,0.00155736736060938,3.16377576137993
"yccU",-1.27268843033333,0.00155736736060938,0.00155736736060938,-3.16377576137993
"elaB",-3.63941993116667,0.00155868538798612,0.00155868538798612,-3.16352952879251
"nnr",-1.66646456316666,0.00155868538798612,0.00155868538798612,-3.16352952879251
"yfaA",1.2901158205,0.00155868538798612,0.00155868538798612,3.16352952879251
"dsbG",-1.5248331455,0.00157497172294708,0.00157497172294708,-3.16050265019135
"fhuE",-4.95592508383333,0.00158673492033532,0.00158673492033532,-3.15833428690725
"msyB",-3.998178235,0.00158673492033532,0.00158673492033532,-3.15833428690725
"ymgC",-3.40710407183333,0.00158673492033532,0.00158673492033532,-3.15833428690725
"arnB",-1.71699448566667,0.00158673492033532,0.00158673492033532,-3.15833428690725
"ydeI",-4.07184414066666,0.00159288951507919,0.00159288951507919,-3.15720567312696
"pdeC",-2.721206123,0.00159713574604326,0.00159713574604326,-3.15642934809923
"rluE",-1.79626827416666,0.00162506440182549,0.00162506440182549,-3.15137008172165
"gabP",-3.408017126,0.00162924321604889,0.00162924321604889,-3.15061998398053
"yeaK",-1.17413194016667,0.00172537098083031,0.00172537098083031,-3.13383627152736
"yebF",-2.172991762,0.00173308035802417,0.00173308035802417,-3.13252776343517
"lhr",-1.34367882966667,0.00173308035802417,0.00173308035802417,-3.13252776343517
"pfkB",-1.2013708365,0.00173308035802417,0.00173308035802417,-3.13252776343517
"fecR",-4.17879966733333,0.00173449070653785,0.00173449070653785,-3.13228896513609
"yjfY",-3.0674678405,0.00173449070653785,0.00173449070653785,-3.13228896513609
"mcbA",-2.14450965216667,0.00173449070653785,0.00173449070653785,-3.13228896513609
"sucA",1.3159014075,0.00173449070653785,0.00173449070653785,3.13228896513609
"ygdI",-2.65117183466666,0.00173618631812533,0.00173618631812533,-3.13200210274144
"nrdI",-6.26746423866666,0.00174707378257323,0.00174707378257323,-3.13016628314965
"astD",-1.70523807183333,0.00174707378257323,0.00174707378257323,-3.13016628314965
"nuoM",1.83276219783334,0.00174716346748922,0.00174716346748922,3.13015120441351
"yoaH",-1.47314308683333,0.00174716346748922,0.00174716346748922,-3.13015120441351
"ppsR",-2.42950042333333,0.00175358244632555,0.00175358244632555,-3.12907382465991
"dppF",1.87542330716667,0.00179206188814011,0.00179206188814011,3.12269033643257
"bioA",-3.4773573595,0.00187125090924803,0.00187125090924803,-3.10994041016008
"yjbJ",-4.46442553833333,0.00187538075512258,0.00187538075512258,-3.10928916682849
"yajO",-1.8188299395,0.00187988907010141,0.00187988907010141,-3.10857974425656
"nuoJ",1.389495305,0.00187988907010141,0.00187988907010141,3.10857974425656
"ybdZ",-5.6965954295,0.00188237128848703,0.00188237128848703,-3.10818981242478
"curA",-2.75568004466666,0.00190450118712176,0.00190450118712176,-3.10473414932812
"yeaQ",-2.879162239,0.00190975155949643,0.00190975155949643,-3.10391969940598
"ymdF",-3.63776878366667,0.00191773439652725,0.00191773439652725,-3.10268531471891
"ytjA",-4.6063434525,0.00192375356353996,0.00192375356353996,-3.10175768833749
"yciW",-2.44246974733333,0.00192633064992662,0.00192633064992662,-3.1013613427748
"yihD",1.8141252485,0.00193397126873332,0.00193397126873332,3.1001891013488
"narP",1.27706524916667,0.00193397126873332,0.00193397126873332,3.1001891013488
"thiF",-1.79159070383333,0.00194078139076454,0.00194078139076454,-3.09914785536013
"ycgJ",-1.965314365,0.00197332149104574,0.00197332149104574,-3.09421842323755
"ydcL",-2.0079063335,0.00203039614026873,0.00203039614026873,-3.0857497704741
"katE",-4.03463903466666,0.0020426232391718,0.0020426232391718,-3.08396398095708
"thiS",-2.6199772435,0.00206592914514644,0.00206592914514644,-3.08058710805384
"kdpC",-1.12563349483333,0.00206748044661538,0.00206748044661538,-3.08036357713605
"yqjK",-2.348042493,0.00209156027857141,0.00209156027857141,-3.07691343978036
"yedP",-3.35259471683333,0.0021254077878677,0.0021254077878677,-3.07212489068579
"kbp",-3.6796451105,0.00213057862755305,0.00213057862755305,-3.0713995164017
"ybjP",-2.08931614566667,0.00213057862755305,0.00213057862755305,-3.0713995164017
"apaG",-1.39586383666667,0.00217163250616119,0.00217163250616119,-3.06569701898272
"rssB",-1.595271846,0.00218218348813083,0.00218218348813083,-3.06424742770836
"ybhB",-2.69842338783333,0.00219520761841775,0.00219520761841775,-3.06246688659373
"hemA",1.50420464666667,0.00219520761841775,0.00219520761841775,3.06246688659373
"iscU",-1.90862060616666,0.002218582576313,0.002218582576313,-3.05929541864687
"thiE",-1.67031726033333,0.00229050961482763,0.00229050961482763,-3.049725038728
"gltD",1.56747487066667,0.00229050961482763,0.00229050961482763,3.049725038728
"greA",1.10425853766667,0.00234168054931842,0.00234168054931842,3.04308259028986
"glgX",-1.10392539,0.00234168054931842,0.00234168054931842,-3.04308259028986
"ahr",-3.01877294383333,0.00243546726275597,0.00243546726275597,-3.03124601007542
"rbsD",2.16435272966667,0.00254559620160545,0.00254559620160545,3.01786816541067
"yjcB",-2.71469795183333,0.00267141128746818,0.00267141128746818,-3.00321785061562
"ycaC",-5.418988386,0.00268083500690464,0.00268083500690464,-3.00214607681565
"yagU",-1.4540378345,0.00268083500690464,0.00268083500690464,-3.00214607681565
"uvrC",-1.227109875,0.00268083500690464,0.00268083500690464,-3.00214607681565
"iscR",-3.53007420333333,0.00269961129649834,0.00269961129649834,-3.00002084599046
"osmF",-2.6257449515,0.00270414326660024,0.00270414326660024,-2.99950991007448
"yggE",-1.6883155115,0.00270414326660024,0.00270414326660024,-2.99950991007448
"bioD",-1.96103145716666,0.00270558478602265,0.00270558478602265,-2.99934755667802
"nrdH",-6.41030366866667,0.00270732948535674,0.00270732948535674,-2.99915116285581
"csgE",-5.98182234666667,0.00278040681945397,0.00278040681945397,-2.99102724865639
"ggt",-3.330791579,0.00278040681945397,0.00278040681945397,-2.99102724865639
"yehY",-2.63419332466667,0.00278040681945397,0.00278040681945397,-2.99102724865639
"cysI",1.211428945,0.00278040681945397,0.00278040681945397,2.99102724865639
"nudF",-1.09938555683333,0.00278040681945397,0.00278040681945397,-2.99102724865639
"yedE",2.06740156016667,0.0028328048416167,0.0028328048416167,2.98532142641707
"prpR",-3.39741482366666,0.00286313697248287,0.00286313697248287,-2.98206233395899
"nuoK",1.67560507066667,0.00287810942651106,0.00287810942651106,2.98046519453991
"tam",-2.54587827766667,0.00296000074828905,0.00296000074828905,-2.97186160797401
"abpB",-1.22648371216666,0.00296000074828905,0.00296000074828905,-2.97186160797401
"secY",1.07502899,0.00296000074828905,0.00296000074828905,2.97186160797401
"livK",0.984069061,0.00296000074828905,0.00296000074828905,2.97186160797401
"ynfO",1.727397098,0.00302895283593546,0.00302895283593546,2.96478423957663
"yjgA",-1.34860349766666,0.00311297034501647,0.00311297034501647,-2.95635651519946
"ytfK",-3.16365935083333,0.00317054557179301,0.00317054557179301,-2.95070014173775
"yhjG",-2.759605773,0.00317054557179301,0.00317054557179301,-2.95070014173775
"yiaU",-1.26189946033333,0.00317231257274669,0.00317231257274669,-2.95052803121925
"yeaG",-3.84262736216667,0.00319977183884685,0.00319977183884685,-2.94786459548293
"nuoN",1.91647606,0.00319977183884685,0.00319977183884685,2.94786459548293
"srlE",1.81797906616667,0.00323754364987349,0.00323754364987349,2.9442347167879
"grcA",5.20722477333333,0.00336529007450405,0.00336529007450405,2.93223775269832
"rmf",-3.6340264655,0.00336529007450405,0.00336529007450405,-2.93223775269832
"gpmA",-1.55449823333333,0.00336529007450405,0.00336529007450405,-2.93223775269832
"eno",1.193916175,0.00336529007450405,0.00336529007450405,2.93223775269832
