"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"clpX",-0.0755702626666608,10.098533023,-0.439765191719245,0.671458717338272,0.778232203909844,-7.02149214243008
"rimM",0.125133315,11.32639158625,0.439504267752414,0.671640151041494,0.778232203909844,-7.02161705875063
"nohA",-0.137402147,2.56291776725,-0.438865024484644,0.672084745753041,0.778232203909844,-7.02192279512314
"nupC",-0.275329273833334,7.461542442125,-0.438855756738111,0.672091192491468,0.778232203909844,-7.02192722456649
"yicR",-0.121270135333332,3.388284094,-0.438280021930556,0.672491735792113,0.778232203909844,-7.0222022173441
"ybgO",-0.171544052166666,2.466772679375,-0.438254934118787,0.672509192103224,0.778232203909844,-7.02221419240444
"htrE",-0.159943595333333,2.431244399,-0.438189353608615,0.672554824569346,0.778232203909844,-7.02224549258632
"maoP",0.125855340166669,8.911125549625,0.437944284943125,0.67272536184999,0.778232203909844,-7.02236241909423
"alaA",-0.269183207333331,6.791538693,-0.437318105297266,0.673161196041746,0.77851559927822,-7.02266089680318
"fabI",-0.107593796999996,10.16464678225,-0.436689916731939,0.673598559976135,0.778739891903673,-7.02295992262032
"ybbO",-0.114699082833331,6.705254980375,-0.436491164688583,0.673736964581531,0.778739891903673,-7.02305444572239
"hyfF",-0.0883063910000004,2.27016313375,-0.436192491764082,0.673944975667981,0.77875964752116,-7.02319641227737
"wecF",-0.115208210499999,5.752797916625,-0.435847336131562,0.674185396698069,0.778816831812921,-7.02336035768281
"miaB",0.225309755000002,7.56419275775,0.435024657444489,0.674758600266254,0.779258304214623,-7.02375062215589
"rplL",0.159458388333334,12.07390095125,0.434139611003541,0.675375509951347,0.779741010850474,-7.02416968682273
"recJ",-0.0799277241666651,7.007586510875,-0.4338765905978,0.675558894911884,0.779741010850474,-7.02429406848728
"atpF",0.170583103166669,10.325152222375,0.430919759871752,0.677622054417303,0.781901091928764,-7.02568739185857
"ansP",0.250588060500001,3.289322498875,0.429682572731175,0.678486171884306,0.78267678029301,-7.02626768018911
"ybhA",-0.194451923166665,5.759156257625,-0.429120483277148,0.678878931751355,0.782908442921622,-7.02653079496708
"yqcC",0.210665009,4.09751936725,0.428352828133596,0.679415498515779,0.783305771183116,-7.02688960346229
"clsA",-0.158534432666665,7.5376537135,-0.427776163928945,0.679818696013995,0.783549155422743,-7.02715873720165
"codA",-0.265720132,7.386770865,-0.426094048554273,0.680995436476077,0.784664130177527,-7.02794181312169
"ykfL",0.290673615833333,0.942056244375,0.425843487893602,0.68117079797956,0.784664130177527,-7.02805820424134
"amtB",0.100665740666667,3.8605056495,0.422805078010315,0.683298941389104,0.786893388460235,-7.02946440135596
"pgi",-0.0730106389999984,10.09727601575,-0.42062869571878,0.684825156336671,0.788269450621436,-7.0304657220088
"yidC",-0.192599462833333,8.639503451375,-0.420550035724794,0.684880346409015,0.788269450621436,-7.03050181964535
"melB",-0.110928551333332,3.461328978,-0.418077904192407,0.68661588390214,0.790044059361588,-7.03163300364459
