"","Read_count_A.1","Read_count_A.2","Read_count_A.3","Read_count_WT.1","Read_count_WT.2","Read_count_WT.3","Read_count_B.1","Read_count_B.2","Read_count_B.3","Read_count_C.1","Read_count_C.2","Read_count_C.3"
"ahr",9.80588246235094,10.2603037653898,10.0867887650693,10.9320046263156,10.8146394892333,10.5792480394384,9.74439546152187,9.91866727125956,10.2229295114072,9.77124392740411,9.99789614886073,10.2037667298493
"aidB",8.65717808284907,9.21864652098688,9.69908644131605,9.188834382358,8.79816097595795,9.40906758350857,7.60086091107319,8.80641471293018,9.60715867450983,9.35989380633981,9.47412627475647,8.5145679870954
"ais",6.15513764254901,6.28142654641858,6.34152729797183,5.81490744378346,6.62641728780499,6.3818053081955,6.07185031596865,6.00359281008788,5.80600821534146,6.44836342865591,6.10803145488234,5.95247367703035
"alaA",11.6855163744715,11.336221426938,11.1587081776318,12.8986821198277,13.1806406540227,13.2211698671007,12.0549654436966,11.5469453215911,10.9831679839001,10.915278664454,10.9132471938372,10.7122996785471
"alaC",11.721297607065,11.6137133466963,11.6097393369586,11.5166548101456,11.2047800264951,11.3172400104231,11.7255312643139,11.4547071275124,11.6229994661896,11.2759902978886,11.4331459123732,11.5130970449026
"alaE",10.8738553609915,12.6175532032071,13.0891578380498,7.03363712623942,7.16939707303465,7.92629603056198,9.34174598893325,11.4827737978403,12.6204353686691,13.6579878922357,13.5656336667909,13.5821432180521
"alaS",14.4812794833952,14.1911460629566,14.1991615901914,14.2329314881336,14.1525221917207,14.0161587286947,14.5497824729742,14.7341647032244,14.6873399878399,13.9457589920636,13.9777871729787,13.7237343649337
"aldA",12.1340819897006,10.9684185663028,12.0797600998557,10.6407500583034,11.3767790844643,11.8847186457481,11.8265975993659,12.0588546421631,12.4489207162807,10.6636896491044,10.5898098931006,9.74854184257192
"aldB",7.89623007434208,7.69904509072909,8.53098950272687,8.38176730045652,7.98821581994533,8.01668138763506,7.19136411597179,7.72218167291867,8.57852030057813,8.11134370917714,8.24161863560636,7.38067784657067
"alkA",8.42293222915666,8.79337955909907,9.39868696540422,8.68630804639932,8.54581971363013,8.71786250734542,7.91932868397437,8.6680814582877,9.52083715181663,9.02211954929865,9.1711324764907,8.32369898486853
"allA",7.64341031835665,7.60904423763181,8.15344377911943,7.2562538206411,7.23409342088972,6.97543241623181,7.54495714198345,8.06932986780617,7.86118608300744,8.11134370917714,8.19499134866462,8.05102035658137
"allB",7.69593011522694,7.75606622609219,7.78819242175931,7.64065130721594,7.53721206714498,7.88258765767241,7.47686904028186,7.61322819813395,7.80544458777981,7.7325025725693,7.80873243096212,7.71443019707707
"allC",7.67863540433772,7.68931822233029,7.95617079468682,7.32042486347512,7.51135620976402,7.61515731992034,7.68084737209946,7.40136355334799,7.68704269307421,8.09475646670918,8.17109970861051,7.72790806446463
"allD",5.7167581879115,5.71356804739895,5.38812999206924,5.17554615889695,5.5137494663647,5.20819059198142,5.71125190412473,5.11912261552364,5.59424867041903,5.56089122075222,6.2246833616305,5.52327369960979
"allE",9.92058940165439,9.16705009081633,9.87957727044982,8.58556707612472,8.30136780947467,8.24091170199048,9.91200565596205,10.1974845215895,9.48328740656828,9.21858120234712,9.00812582738382,8.75064921772047
"allR",11.2559992703402,11.6796292465617,11.9063716280356,11.6284716777959,11.5453663299889,11.4092698430913,11.2716071562397,11.8236781508271,11.921383043241,11.7465054336116,11.7694971912692,11.5266464572641
"allS",7.03036583293342,7.2993982666551,7.01328997080032,6.93160066380054,7.00605729220214,6.61406826451742,6.83478583519226,7.15860347474254,6.85013010191817,7.06846435731026,6.98776933905455,7.57222530671562
"alpA",4.62995171173582,4.57594618576233,4.14622321557126,4.36477204070373,4.45050011526068,4.88249930098991,5.01617211501322,4.35622359149019,3.95184067778322,3.73012574345968,3.94795371641329,4.56543846751693
"alr",10.9205468112118,10.5385745990243,10.5387712878682,10.7361399368302,10.7433774957972,10.3671267488901,10.7910775076863,11.2784017966857,10.9858555847252,10.5350221681392,10.6103803799435,10.5940917765383
"alsB",7.04395091185496,7.27357754819725,6.46869475890794,6.97784683809763,6.8076272397135,6.81388552598316,7.03768480506599,6.79413605294422,6.51402831930596,6.33948109763439,6.8618576942967,6.66565095162653
"alsR",9.04215002419564,9.08416723628107,8.88393573091406,9.20104624433183,9.48497063564542,9.65826183162524,9.67886169739334,9.06868396394116,8.49543792152375,9.07210684451243,9.11964955697345,9.1563707400129
"alx",8.29264165660192,9.00800855848649,8.24673398105894,8.91703458153699,8.58763294272889,8.64563819973715,8.2631546470454,8.16961188359976,8.39114073093806,8.79666618437782,8.33488652676182,8.2226354407965
"amiA",10.7229124648487,11.2379654122211,11.0509714669306,11.218140496575,11.0938391385486,11.3308488001179,10.5895583593901,10.475498202489,10.6564991195481,11.115945385999,10.9403459049704,10.7881898629399
"amiB",10.7016812322442,11.158295975102,11.2229851214893,11.1218745602111,10.7771920238367,10.9190251840236,10.7055578531318,10.987881043314,11.302782035075,11.0589625126583,11.1414766681724,10.9463389362765
"amiC",10.1097761998771,10.4304103638035,10.5112522663919,10.2439037894678,9.95154051608431,10.0721007428899,10.4368001295417,10.2169090871676,10.3423881690845,10.9166943686457,10.9193530955668,10.447120131372
"amn",13.4861833397373,12.5442947369366,12.1075914070653,12.9558256796989,13.2527346203391,13.0087983400372,13.3637226331182,13.0425484816857,12.0256249346567,11.6201231515997,11.5684280506423,12.7266074360206
"ampC",9.37283671587006,8.9481287252622,9.46431785344951,9.22755387058298,8.95013339384105,9.20840616872778,9.67452970786801,9.12411972178113,9.47565872300747,9.74279231765141,9.63990926912307,9.41970180723481
"ampG",9.67037259727154,9.73796801759462,9.26161631933787,10.1117316511153,9.61195134450776,9.74620547591254,10.0588331038033,9.46660882192707,9.68640369622584,9.87587385097184,9.79953498843553,9.84440370451528
"ampH",10.2898662489554,10.3292071240315,10.0512607474065,10.832692496427,10.4110485217734,10.5139376415478,10.4520656461207,10.1657079387488,10.1368777224445,10.5058467258561,10.3708828921543,10.6710610382136
"amtB",8.44354704652551,8.46340179563132,9.08620023001017,10.5074775305383,10.6527425548522,10.9867842640428,8.03878704814767,8.09656139511882,9.12530083503154,9.44084405192923,9.59394128113549,8.8214716481451
"amyA",9.83931930881228,9.98042965391703,9.92690385561395,10.0085180309659,10.069828619417,9.90566082916475,9.67018467023182,9.55974862290701,9.5765795088785,9.63797352209778,9.67259848954439,9.28495326326697
"anmK",9.5894553063354,9.43767128406577,9.99276487781689,9.46075020621203,9.50692557663998,9.4545343679616,9.50922390885025,9.93551529220736,10.2574463387308,9.82450727573852,9.781507584598,9.53145562497539
"ansA",11.04546033634,10.7285086499101,10.9062283089153,11.1969576466326,11.2208087694718,11.1197282758727,11.5762076738518,10.9556217871903,10.907698405891,11.5028033832945,11.3341886236682,11.3187398759295
"ansB",8.30958654409226,8.55189944451217,8.37444673823909,8.34261006897277,8.55005601794895,8.45990832009681,8.19822611463991,8.46486558012955,8.43376906735423,8.47396671564431,8.49548034738416,8.53770005255225
"ansP",9.02173363092746,8.92346293217404,8.77106533334847,8.95790880609876,8.81233711309488,8.82176830250807,9.24572798433223,8.94433519836439,8.85432354706508,8.93351074030325,9.00947343634137,9.14134971006823
"apaG",10.1604556048247,10.1026362261465,10.4236624899884,10.8782687785568,10.7078038541815,10.8365231890549,10.4187837681477,10.2703448214076,10.2153153071805,10.573824859969,10.4861900169902,10.3546444299407
"apaH",9.87389812137157,9.85779292782058,9.91212567269599,10.6935610868343,10.3369967833219,10.5446283893083,9.94834400708663,9.71320794988979,9.95315668150931,10.2714559690336,10.1686361285156,10.096233318242
"aphA",8.46890790741718,8.8114169834851,8.36723934900341,8.64756618009294,9.06410655328062,9.16043050511353,8.70678532252044,8.50606056860586,8.33601951295536,8.54160846435966,8.76012295687854,8.76378740496255
"appA",8.77977737341949,8.49164516331063,9.0256987017495,8.43237575601384,8.40323610733225,8.61925836014601,8.38484769471052,8.63545175611407,8.81455605419436,8.71438704483357,8.68789135913787,8.49105879134861
"appB",7.7875089665344,7.45680615833504,7.495906003336,7.55183202484057,7.2756625101396,7.57908972418733,7.5064447350036,7.77559020613718,7.66930487633049,7.43316580841848,7.42802724356586,7.60181164818775
"appC",7.57961432837228,7.75606622609219,7.59801345949002,7.77750055793017,7.47614329936946,7.43517047605779,7.17916645617165,7.56636361269259,8.03049315592836,7.66666852104414,7.6238952134904,7.47963452075785
"appX",6.5096005657671,6.08661303155051,5.8104948234618,6.44703331768016,6.36199884844235,6.27266927983057,6.07185031596865,5.81073372603932,6.22809975554806,5.84389183556276,5.8535620995669,5.90542975493578
"appY",8.99055673784415,9.31345166820264,9.07297305560341,8.35140403802988,8.87445990493889,8.61481442110613,8.08523602182423,8.53066793140586,7.92982436606227,8.66356761682889,8.93199857074896,9.7049380010582
