"","42C_A3_R1_44C","42C_A3_R2_44C","A3_F181_R1_44C","A3_F181_R2_44C","A3_F228_R1_44C","A3_F228_R2_44C","A4_F244_R1_44C","A4_F244_R2_44C","A8_F232_R1_44C","A8_F232_R2_44C","A9_F200_R1_44C","A9_F200_R2_44C","A9_F255_R1_44C","A9_F255_R2_44C","A10_F210_R1_44C","A10_F210_R2_44C","A16_F258_R1_44C","A16_F258_R2_44C"
"cfa",12.108407088558,12.2632825317843,11.8478423504906,11.6642478253817,11.4135431782836,11.3255184347626,11.7043388534469,11.79486445425,11.8147920351557,11.6644771890793,11.5779845742914,12.0152084238346,11.5773839475097,11.5044996276904,11.3607140210411,11.3919517889882,11.4760186860749,11.4816179977353
"chaA",9.4702236757133,9.16916069172648,8.95018329792976,9.03476796545947,9.38006150328681,9.76607006950139,9.79119521526855,9.97918628097531,9.94301035980616,9.87897443187082,8.83084848029169,8.62823550153692,9.96547873495813,9.88657935372321,9.5438440085727,9.86446954528496,9.24097116458935,9.23496519250786
"chaC",8.29589885513165,8.44446669548596,8.16907836406951,7.67300836743179,7.36255466828533,7.01907555326762,7.54602535374202,7.58054176232137,7.79658261596865,7.86264184467003,7.87979888065079,8.09148459185211,7.61153809933901,7.89359317499862,7.5386251915372,7.42382529748247,7.53270502328172,7.54410529169361
"chbA",4.82949238906884,5.00576481160072,3.63308650754326,4.54455074255161,4.64465788796588,4.53868054699825,4.83055706028802,4.46988063612987,4.8530818413525,4.78276109615748,4.92138645032296,4.67347196965874,4.93596939503202,4.63924733054263,4.50096997832443,5.29935445695104,4.26567492785051,4.65065598554455
"chbB",5.28262918534058,5.43750739529404,4.70162681774799,5.20347412321915,5.323007699386,4.89436664958168,4.66192084768683,4.74392286980105,4.50820954762094,4.56619964562072,4.92138645032296,5.33885944209258,5.02592612135763,4.72309041425032,5.09563611737945,4.97584218769579,4.6218622310699,4.9973238059138
"chbC",6.35124001820644,6.3582591145823,6.18097429482343,6.04426531656759,5.35865975962816,5.07548371821319,5.58283133075901,5.41509099311983,5.33448081250102,5.48636783619698,6.12433356314468,6.00761688648849,5.71985169706253,5.61755294932805,5.88828560553405,6.152681872269,5.38294112587837,5.97258587681035
"chbF",7.01466549841446,7.22020801405588,6.31959892908442,6.44351561802543,5.84645319749081,5.95175662019072,5.96971961422237,5.86359926531149,5.75109167171242,6.06546152716586,6.60305823141912,6.6817023314655,6.41730945306938,6.58992155303717,6.33530399715993,6.33335668265839,6.38489065966258,6.31939737213015
"chbG",7.34850878326677,7.26123752751312,6.44551226664103,6.91651535910747,7.01023457941007,6.99043588405033,7.12633993156204,7.03284972106512,6.72059831306157,6.78628251642517,6.95868006628966,7.10297066034363,7.03410416121236,7.03371044540095,7.17040056006053,6.99461462344373,6.99815178099372,7.1431002350159
"chbR",7.38032210226022,7.66381788228801,7.70927038524372,6.55444937901554,6.98957822014439,6.42908630105587,6.41853806323135,6.52066643680944,6.14472330853928,5.91572936209118,6.7867094889868,7.12653397958843,6.65434777835086,6.64952456028461,6.91535139972846,6.29037415914602,6.89803986496682,6.89590310114538
"cheA",7.08413605246883,7.05094888359117,7.49720121864706,7.42221708629683,6.87023768020119,7.33167210950184,7.14336321882637,7.17787781901101,7.78290075783199,7.93373197478941,6.82910044942185,6.92605525578534,7.00608069224066,7.02096062114582,7.2387623440707,7.32281288203556,6.74145037982373,7.00418972361767
"cheB",4.88454670868118,4.79842409570513,5.41165779364327,4.95085967586264,4.83224625876807,5.36775786055769,4.59791508392283,5.16950056403254,5.05574245936271,5.30300054845043,4.9668732140204,4.91625943662476,5.06821873824427,4.76228807612411,5.82799152047984,5.55262700538036,4.94057729031559,4.57785044337249
"cheR",5.42307672464309,5.46306134003044,6.02659886871444,4.79757900676374,5.08264737300082,5.19394364374265,5.34996156858103,4.90599823660902,5.3136477220693,5.63090814237463,5.13161766053286,4.99893732995107,5.29307839571025,5.02983359107758,4.68843448278856,5.55262700538036,5.33607569180661,5.0909056597944
"cheW",5.95603082907702,6.04254556310437,6.56092671817106,5.98496926298301,6.20068241086371,6.10606624697715,6.10104955780062,5.88569557536302,6.21963684573616,6.23909896692496,5.76842902868848,5.89869251312325,5.85713262716419,5.73727546842561,5.69835816700597,5.99942119459646,5.80733743948621,5.9943766045885
"cheY",5.16509116552712,5.21083498421638,6.31959892908442,4.95085967586264,4.93972412932041,4.89436664958168,5.28403073218119,5.08854855922675,5.20356313646024,5.0615402296463,4.92138645032296,5.03797394069999,4.6679124836277,4.63924733054263,4.25132688423126,5.38976268742832,5.0685953592083,4.78048761238141
"cheZ",6.43060923656454,6.40859031877312,6.85906658452551,6.08238999819249,5.42694554422469,5.84537835453284,6.0463294121081,5.81826153473042,6.18803455560959,6.28622377123907,5.95824437340163,5.97228903042116,5.74376116643426,5.78536793479969,6.15454876937925,6.29037415914602,5.66887638367229,5.90498956587502
"chiA",8.33279842100156,8.34040166306753,8.70116912462179,8.47337252069883,8.50365078958291,8.56864196221596,8.30556163128459,8.14736124551239,8.32347819071052,8.23970674402299,8.3806101027707,8.48170311071938,8.27197706380983,8.35855046168758,8.745903373694,8.66341653026501,8.48735191758417,8.60107061894426
"chiP",5.60748684469855,5.88859215139253,6.02659886871444,5.53064876062521,5.58270363253645,5.75361009504185,5.82402239884562,5.74716504207009,5.85074378649209,6.1803163947307,5.87723612431147,5.67206864172609,5.85713262716419,5.54371839825279,6.24791063791908,5.76312252034797,5.47156391489208,6.0369217292702
"chiQ",4.70900540551749,4.70146588405299,3.63308650754326,4.79757900676374,4.77379464706469,4.46196868696344,4.52863602580206,4.61789991905374,4.78689239814037,4.71620356933276,4.59239375472224,4.82631836288031,4.53390301713065,4.59411665161004,4.84325707913015,4.50019497238633,5.00650358929514,5.04512307945902
"cho",7.49367953254265,7.76681011777479,7.84996468751049,7.3557661014271,7.38636288993218,7.44113712271512,7.49405933761554,7.66873549428208,7.34392305443119,7.45027546833662,7.56250651129364,7.3759664114754,7.33324598591996,7.29392494843989,7.4834808985155,7.46231006120059,7.51360805960071,7.32891076595872
"chpB",5.42307672464309,5.73484443606629,5.41165779364327,4.99725047579285,5.08264737300082,5.23083342911801,5.52859249831238,5.56422357216932,5.33448081250102,5.30300054845043,5.6245454162576,5.71632261084383,5.22291851459483,5.26775544893172,4.68843448278856,4.84220496457795,5.00650358929514,5.21795812406669
"chpS",5.12306534594539,5.32955806553917,3.63308650754326,5.20347412321915,5.03708665633643,4.67334647626497,4.77763557795778,4.80099733372405,4.63867492436905,4.78276109615748,4.9668732140204,4.82631836288031,4.88790084857557,4.76228807612411,4.68843448278856,4.84220496457795,4.87017303118075,4.89469818999512
"cirA",9.40249487516815,9.21484676559384,7.60716068400626,7.30185292479123,9.05998312480219,9.96270645601621,10.2400663977726,10.7874390175665,11.1117361101629,10.8724879420183,9.599557249629,9.56208454799355,9.77701734999064,9.87872137804072,8.0740018158989,8.59607079101005,10.2651016242333,10.2154858365897
"citF",5.24475940252074,5.0427018611868,3.63308650754326,5.16516252359944,4.71150745073433,5.11637814032494,4.83055706028802,4.61789991905374,5.18023368198719,5.0857552744287,4.77117789376056,4.77807396759483,4.83743275181143,4.76228807612411,5.55417227779086,5.76312252034797,5.00650358929514,5.1348661727526
"citR",5.45578035956525,5.73484443606629,4.70162681774799,4.99725047579285,4.71150745073433,5.03300760463007,5.7792504789042,5.16950056403254,4.63867492436905,4.6810340526062,5.57274324831117,5.67206864172609,5.35929831079347,5.11486390678365,5.09563611737945,5.20144797388567,4.94057729031559,5.1348661727526
"citT",6.15859033386384,5.87033065441415,4.70162681774799,5.78933875811214,5.77281603234696,5.5478118615687,5.63483356164378,5.59202328366145,6.05371143695252,6.00983770172694,5.6245454162576,5.77998451246247,5.69549110747636,5.58117599838667,6.0542881521559,6.29037415914602,5.77408309184192,5.85793035919019
"clcA",8.16557779144902,7.97357959712472,7.89395388207191,8.28468436194149,8.00837797729433,7.87422572586345,7.90522146648631,7.88914884084863,8.0714601757433,7.910424409804,8.14777365731211,7.97156207764399,7.81261090909136,8.07913793053503,8.3135398312872,7.98197065406396,8.39675876623849,8.28514218553131
"clcB",7.17782733829954,7.37767920541394,7.24807772222137,6.8957680324302,6.5961199695672,6.95132525663996,6.62859668704348,7.2451938320019,6.98443888435845,7.05621377604252,7.31106083910868,7.26025545125589,7.24035126144236,7.00161809534735,6.94302519685417,7.46231006120059,6.7741929542015,7.25222733114583
"clpA",12.5061948232699,12.7161772717986,12.0600536443284,11.9542727011247,12.1480606445793,12.1002516260618,11.8361383389543,11.9757930319138,11.9443091806617,11.8854851309198,11.9523219774035,12.1419984812819,12.1725712892221,12.110832795248,11.9024388740304,11.8246395110713,11.6334505170496,11.6945820865012
"clpB",14.2018035518241,14.0426353529823,14.1764979561137,14.3347916991196,14.4435988552755,14.762097726372,14.5596873722064,14.4769192527527,14.4738867559226,14.2562481942515,13.9223879083574,14.7168311044356,13.8966438722497,13.9263936478663,14.1965813717472,13.9907772654084,13.5489862049174,13.5268229703216
"clpP",10.574657083248,10.5933917023774,10.9064828688686,10.8105287387371,11.1006120288281,10.9187096448532,10.9394822451428,10.5295367239508,10.6997796145209,10.5596870587942,10.4261328527255,10.6847671019429,10.7229656317506,10.6785565298845,10.699294868309,10.6662485715301,10.6721976621323,10.5670481167061
"clpS",6.69658099178156,6.64647845908773,6.94588606373393,6.65719695570082,6.49629520431357,6.38521656693494,6.74545286873666,6.66416282750346,6.66887352252363,6.79915747922384,6.76502525945836,6.4116518196627,6.592445356698,6.61577760237356,6.41747650628204,6.79676547261912,6.42702920826726,6.11817543885304
"clpX",12.1329871331555,12.0914952691897,12.2471305058398,12.145986959415,12.3634178841295,12.2674879366014,12.1997850531159,12.1764176383678,12.175391951009,12.1180964167882,12.1854798959947,12.2454781236041,12.1993854665514,12.152699168959,12.1734876822884,12.1606958547575,12.2122712437292,12.2170232504893
"clsA",10.1834108567676,10.1581571916796,9.91422561313264,9.87145508796089,9.86470102788008,9.90432501639835,9.97699684003662,9.94817394281297,10.1669470432629,10.1076442360847,9.89027889168225,10.0291538879892,10.1149020476256,10.1163026746786,9.76715605218108,9.8786973098784,9.97314408097797,9.88620265737969
"clsB",5.42307672464309,5.51263362989836,5.11323293671253,5.16516252359944,5.08264737300082,4.98879237506108,5.01811420879812,5.04574349114267,5.43354935641784,5.15538115799087,4.92138645032296,4.87229643459288,5.51053528350444,5.05891664746432,5.62830789136573,6.10350399619158,5.12735474193223,4.57785044337249
"clsC",7.1868654317889,7.32709778952659,7.80458363448945,7.40771529266012,7.34645885174922,7.19651411211954,7.44698541823804,7.56091459528203,7.28186078384648,7.42987879028245,7.15409200985026,7.26025545125589,7.14096770936533,7.05262264752815,7.3039906514974,7.36408004563128,7.16716085481548,7.27824982265574
"cmk",8.3727174635563,8.23847512967384,7.97808251738752,8.24052605768779,8.17655051979095,8.661642965663,8.4210319018071,8.50576535255973,8.52560538280497,8.53814107941989,8.39114358257027,8.28078639586273,8.54747185106667,8.52010327789007,8.24907412587207,8.26843562554742,8.3330307672641,8.34761490323976
"cmoA",8.84221857448517,8.70321020130559,8.77346073815297,8.89946125834156,8.9127913852076,8.93680747651809,9.0843808055682,9.01958878112084,8.7561815955262,8.92670408118728,8.93523553371194,8.8101976096784,8.84548314605767,8.87660241325722,8.94878542300204,8.96639372585402,8.96107594162479,8.69371701688471
"cmoB",8.80187839462923,8.90541945357064,9.14438202545117,9.21963276891961,9.2002217525928,9.15927718967635,9.05342355575905,9.3124438257292,9.07593560592175,9.06215662760028,9.08537059696377,8.96092907208624,9.10325505280384,9.0792191382868,9.50761000959879,9.27694258875842,9.28369455527326,9.25680968007461
"cmoM",8.91696523519651,8.85524734174371,8.48851287965167,8.81446376561967,8.86018509270008,8.71179412423923,8.83155204529711,8.72962407434127,8.68823987136443,8.68592832708619,8.86145305170569,8.80537441666898,8.96817401886021,8.94512572413294,8.46309509630413,8.84114570964215,8.98198651052552,8.95393917172784
