"Gene","logFC","adj.P.Val","P","SignedZ"
"yhjJ",0.274851696218677,0.206815332685522,0.206815332685522,1.26237096287254
"panZ",0.326364181329831,0.207275082778834,0.207275082778834,1.26109372050834
"entH",-0.707350619453427,0.207365559814252,0.207365559814252,-1.26084260631935
"ygbJ",0.668245543102921,0.208372411426593,0.208372411426593,1.25805349198207
"potH",-0.907163885120429,0.208415097998605,0.208415097998605,-1.257935460569
"umpG",-0.251049908244166,0.208415097998605,0.208415097998605,-1.257935460569
"glnE",0.179395061203807,0.208415097998605,0.208415097998605,1.257935460569
"srsR",-0.413160618146047,0.209344534725761,0.209344534725761,-1.25536983435733
"oxc",0.381893609350842,0.209344534725761,0.209344534725761,1.25536983435733
"yphG",0.566545537078407,0.209567887884534,0.209567887884534,1.25475451828951
"cadB",1.17930685498525,0.209624120071908,0.209624120071908,1.25459967896163
"rpsI",-0.600504321586101,0.209706480600025,0.209706480600025,-1.25437294766501
"ycaC",-0.688230139291051,0.209737724142192,0.209737724142192,-1.2542869538075
"djlC",0.277355849958085,0.20978048620171,0.20978048620171,1.25416927173573
"glcF",-0.310572283945143,0.210246648266282,0.210246648266282,-1.25288750921623
"dgoR",0.298621300454775,0.210261120994776,0.210261120994776,1.25284774783641
"ubiD",-0.211281474455955,0.210738911735331,0.210738911735331,-1.2515362088275
"hipB",-0.329470207758411,0.211736952013616,0.211736952013616,-1.24880350408198
"gspH",-0.813511858781907,0.211910023497128,0.211910023497128,-1.24833057006532
"yfdE",-0.46751904825631,0.212256445569457,0.212256445569457,-1.2473847771755
"moaE",0.645747038646343,0.21291792015551,0.21291792015551,1.24558192863351
"insH11",0.243577728110184,0.21291792015551,0.21291792015551,1.24558192863351
"cbl",-1.05266238007406,0.213090524674243,0.213090524674243,-1.24511216064232
"livJ",-0.320263884194379,0.213090524674243,0.213090524674243,-1.24511216064232
"yaaA",-0.247929099049107,0.213090524674243,0.213090524674243,-1.24511216064232
"nanE",0.402127575864669,0.213369958745777,0.213369958745777,1.24435222265172
"gntU",0.572593388600722,0.214178256451566,0.214178256451566,1.24215804338658
