"","menF KO, rep 1","menF KO, rep 2","menF KO adapted 1, rep 1","menF KO adapted 1, rep 2","menF KO adapted 2, rep 1","menF KO adapted 2, rep 2","menF KO adapted 3, rep 1","menF KO adapted 3, rep 2","menF KO adapted 4, rep 1","menF KO adapted 4, rep 2"
"nrdA",11.9699393700958,11.7241074531192,10.9499998244915,11.0695805289209,10.9357198758656,11.0398783999612,11.3195255188755,11.3100520728779,11.9402496729438,12.2559040397243
"nrdB",10.993950685447,10.9928173670085,11.2210142914876,11.2591232763823,10.9308643479098,10.766175785735,10.3944984453182,10.3431369148022,10.9757055104358,11.3418742155082
"nrdD",8.67029492188482,8.80866142419157,10.7122387310138,10.7491368474291,10.9300535020273,11.1198387681737,11.5301411602031,11.5687849265819,12.4212664247184,12.0728605938755
"nrdE",9.12762591032283,8.44859771699996,8.32453950036184,8.36674439248503,9.06319710773432,9.05520752641499,8.60989685757567,8.60423656318424,7.09899762267085,10.0163018524286
"nrdF",7.82746138880218,7.37557691538316,7.0313857166911,6.73423560719659,7.31713454930819,7.04355909426965,7.05655049257367,7.08071647386155,6.14582216363645,8.09073043594912
"nrdG",6.23799629939903,5.8602568060683,6.19660449109068,6.48364200668434,6.59457045279197,6.5981810843289,7.5390890245371,7.93743400209081,8.63640133102073,8.51471653629353
"nrdH",7.46031771072548,6.69221709133428,7.53972950727448,7.18936578312727,7.75175735463889,7.83873474568241,6.57942899202552,6.48908014955593,5.49520806031957,8.0372159057908
"nrdI",7.48989081868293,7.04487304395951,7.78110806860052,7.30948594617336,7.77365157085892,8.05912065382331,6.95404291691745,6.91667354954089,5.8024422168397,8.66875574897598
"nrdR",9.51074483425599,9.41300201619186,9.65787556299975,9.58253252200153,9.58609018194432,9.62991011440849,9.26076153413777,9.48382567670351,9.99597253530449,9.97970923722816
"nrfA",6.71240775456341,6.81970451061145,9.76272209048795,9.90539219676195,10.0607915357747,10.4291047630315,11.3729083288478,11.1118931480267,12.8853658925667,9.17845335536743
"nrfB",4.03555902083109,4.7409075580374,6.5821466791808,6.79054396630449,6.87799805010707,7.17544761044826,8.76569329942448,8.26939532075318,10.2590290442172,7.00150089256912
"nrfC",4.66046115343216,4.7409075580374,4.87163133883601,4.99216511010901,5.50155192322466,5.96790695252813,7.50332164311846,7.49794479118029,9.13550574175622,5.98773299719222
"nrfD",4.71781395914052,3.9133330888291,4.43273178884474,4.68046947925711,5.63929686935637,5.41545606047423,7.37458236530733,7.29614310062708,8.9809643670414,6.34452159708398
"nrfE",4.96901971232398,5.26471905632962,5.4143173146279,5.12259034148,5.67164933274753,4.8725652395762,6.10793175658497,6.10333804898216,6.78306089067881,5.57935543242037
"nrfF",4.82468949714951,4.08643273995149,4.26574673107949,4.4862466906237,4.73249547768183,4.17063462688673,4.77181864225083,4.76875556945092,5.31050261887336,4.6940127793115
"nrfG",5.25232373546017,4.56446472343574,4.8182556365252,4.68046947925711,4.85872891920244,4.76326688316726,4.87405295365861,5.13420147278249,5.31050261887336,4.82952020909551
"nsrR",8.03707600611031,8.28876428914851,8.80181926356101,8.95764439131829,8.75417982914852,8.71982919543951,8.45402373557645,8.58395169711664,9.02238137875824,8.68757043003724
"nth",8.01184790093402,7.84500155321452,8.11904507433257,8.07519057379284,8.30129826212723,8.25935198580494,7.25052521758333,7.18348825171518,6.47896758654055,6.33075588221116
"nudB",9.85910357866729,9.87973114707194,9.90477408633694,10.0422707853989,9.98941547978273,10.0828747839376,9.89966600590536,10.0262328334912,10.6470892906159,10.1394785853261
"nudC",9.57065646694571,9.51547445301837,8.56454087950401,8.70445594270535,8.80461562770069,8.83133270784283,8.75358772724562,8.77797420239014,8.1211779065618,8.33882130250513
"nudE",10.0897678557215,9.94072678014142,8.74117884624974,8.7475091816008,8.64768404135969,8.60973741921875,8.47260966918026,8.39504923676442,8.54905560937134,8.8609647947505
"nudF",9.05791342419925,9.00807583012191,9.05878261191666,9.08617468575347,9.04832565400193,9.28072408892389,9.11227101631609,9.20277044603476,9.41883632631761,9.19920090449192
"nudG",6.87871736721644,7.10318927181506,7.23091804004438,7.17537568615125,7.32705275794854,7.47206132518201,7.30144295277274,7.3771515527649,7.52327526469695,7.58226696747336
"nudI",6.68698092397674,6.83702037176759,6.52220795935708,6.50630044253695,6.73587217862441,6.65512429662488,6.74865774509115,6.68093358761645,6.73668392558217,6.93978902482352
"nudJ",7.87861462863771,8.08030021107139,7.41425099721161,7.50096643437199,7.56345213654888,7.43210419226678,7.30144295277274,7.48338987227524,7.15283499024801,7.44341734000791
"nudK",8.35047345166973,8.11603195057126,8.50049947144225,8.60910970555442,8.76513703975958,9.03937202820346,8.70412247419257,8.91688206723347,8.94846983695716,8.93255665531805
"nudL",8.39796421091982,8.40305993393666,8.2439840561068,8.17674004463731,8.07919544561154,8.20830466279642,8.13261770945769,8.03536464800456,7.90875690746443,7.97726923807942
"nuoA",11.0746602822927,11.5523567281263,11.1950815902266,11.1923362286291,11.3572551043441,11.3671191133915,11.1533166272691,11.0784668058355,11.6900566912722,11.4322603637739
"nuoB",11.8349209333519,12.0489512811005,11.4122063554756,11.4715297335484,11.6018991994722,11.6345617011723,11.4243861004898,11.4232683209865,11.8712734727406,11.6540451997446
"nuoC",12.5335860158639,12.5534095567417,12.2802643942529,12.334240394417,12.2254107156651,12.2903631406243,12.0936577610598,12.0608140455784,12.2656677840678,12.0213739247042
"nuoE",10.4265677718008,10.6115375673291,10.9598338342394,10.9124713637676,10.7405036450615,10.7876573897315,10.4620567392135,10.4185421145135,10.2187335598425,9.82328320043852
"nuoF",11.7217477332739,11.8666091000526,11.9556650907073,12.1567149765003,11.8402201214694,11.9499871031278,11.6191149227873,11.7235316016813,11.3726548203334,10.9015520932083
"nuoG",12.9557964715764,13.104700723003,13.2663324656283,13.3652063089448,13.08262422049,13.1681591078023,12.9833379621374,12.9549135361372,12.3260007787373,11.9965415933847
"nuoH",10.7657535589329,11.0344526451895,11.3104724464014,11.4701029639264,11.1381524359442,11.109135112984,10.9396302776777,10.9330968220145,10.4262441896148,10.1404539929351
"nuoI",9.76871328700575,10.1905317161876,10.2080195002974,10.4305260172779,9.98629843662701,10.0660431548387,9.79874800695392,9.8897308848052,9.51413309228103,9.14773202918029
"nuoJ",9.26410712474886,9.8203764856283,9.88573873233714,10.1899918725534,9.71784553964149,9.7867079601779,9.50231544279838,9.63766122856925,9.29111149188798,8.82742975497516
"nuoK",7.35976744082445,8.15777152221818,8.09882388861422,8.68490049626429,8.01939824708636,7.86894836617195,7.74294055830314,7.88308396044227,7.48187288262883,7.24671527575046
"nuoL",11.167161138581,11.423669335591,11.8591328724938,12.0571266378873,11.5756982294986,11.6502818576432,11.6439109448418,11.7142341528201,11.3660477266593,10.9673413234744
"nuoM",11.6950814023684,11.9150337542131,12.2195817287828,12.3141030523214,12.0692079339719,12.1214444220811,12.125698848417,12.121270217416,11.8655968517776,11.6292458476753
"nuoN",11.6023155447823,11.8671329041985,12.2656145296818,12.2827505949312,11.9838789611725,12.0438925396848,12.0442210105889,12.0217791184376,11.7478315196943,11.4953744160509
"nupC",11.1660193145902,11.1679871656003,10.0863216660999,10.3629423817519,10.4606722293851,10.4660907971935,10.4071072340498,10.315734254902,10.0333883116849,9.76502321151108
"nupG",7.97054003553208,7.62441406913831,9.07955381071146,9.00177317088172,8.98100528446581,8.99353665098617,9.47309007423344,9.28043542980378,9.5243431625759,8.93480791085903
"nupX",4.53620869668883,5.46338961164316,5.27031817126241,5.34929491862774,5.60615470056746,4.97279635673567,5.98693661608192,5.85001782258167,5.8024422168397,5.48062274928333
"nusA",12.4155619644584,12.4072807947356,12.2593714454315,12.3767399736597,12.0075157220898,12.0252592287507,11.7501224201955,11.7650194388429,12.3225924606249,12.2835388619857
"nusB",10.952830428131,10.8727516212905,9.69536083272053,9.95519878697911,9.97690668877553,10.0463748164377,10.1124310524833,9.97005025460631,9.94368055635921,10.0099114156865
"nusG",11.9728806243157,11.8843126065857,11.4786949510775,11.5349988229973,11.3481787228475,11.3501077019322,11.1818178538721,11.1382034299967,11.4312474433139,11.4980403084071
"obgE",9.91862467086974,9.8225388916031,9.94635354225231,9.71853984539172,9.3900953216012,9.52010840193761,9.36785554102037,9.53225247468765,10.3820179098025,10.2457262968145
"ogrK",6.00879491969467,6.02258245777285,6.52220795935708,6.17890856409217,6.19692762244711,6.07719482216096,6.02844668345499,6.00333652990709,6.5343908671153,6.67309500042953
"ogt",7.31913717204299,7.5635401523189,8.06273870359895,8.14128885565141,8.11962315317328,8.17485193412669,7.93223817067446,7.84377925527836,8.27835299644874,8.20339285971871
"ompA",16.9391943590023,16.8445499849228,17.3687090145613,17.4392229323716,17.3276920611926,17.400182446555,17.289756382875,17.2502596683862,17.5169868975056,17.6483519139936
"ompC",16.1277482734312,16.1017407873348,15.9503688802371,16.0591082551176,15.9767071419227,16.058495639802,16.1666822406377,16.1566067357129,16.3927544452025,16.8928101117047
"ompF",16.65396330144,16.683381638298,16.7939138552029,16.9474170792876,16.8962651146797,16.9507343735987,16.7685960935999,16.7002923601154,16.5075170703806,16.2178463374637
"ompG",4.31785805645897,4.56446472343574,3.79164809003336,4.24818858112495,4.97297832474307,3.94014907154294,5.01287410785708,4.91880888315628,4.3662454832434,4.59395204065442
"ompL",4.77246306652294,4.56446472343574,4.06285853020936,4.24818858112495,4.33674348324348,3.59642984592475,4.77181864225083,4.59668009364947,4.50375772422887,4.22151867452006
"ompN",5.28813747371553,4.7409075580374,4.70371338991006,5.12259034148,5.1741471410566,4.76326688316726,5.13777727189907,5.28358127495726,5.37497523540812,5.13071229784492
"ompR",10.2503049088819,10.177075189473,11.134350164908,11.1932012492252,11.2026869654164,11.1612670753579,11.1857634682746,11.1265691691074,11.5257411641507,11.1576035795725
"ompT",15.5463558751716,15.4654941167706,15.1929709027933,15.0127111945107,15.0525134708199,15.191709203165,14.9322819573354,14.9627263701373,15.2620757878746,15.2244836570549
"ompW",6.59422548352188,7.80175308810163,9.14998356623361,9.24480463514284,9.41117012390744,9.47373506655946,10.3788271035138,10.627782140653,11.2676934195361,9.52470412488615
"ompX",13.6250213381703,13.6523322851419,14.0091763744809,14.2427812325444,14.133274930722,14.1153438123375,13.8256513015516,13.7453366026633,14.3745913487537,14.9352308589597
"opgB",9.87875346978723,9.89213836016035,9.11771129566413,9.11932743777107,9.2515541022242,9.30961528401483,9.45638676467291,9.45434177508499,9.04856029024681,8.90755802500493
"opgC",7.78637858456078,7.7929451350059,5.7451820548843,5.86194983485162,6.28181606962027,5.82427286165601,6.04874660905555,6.00333652990709,6.03406323415544,5.91517906290781
"opgD",10.4284736374579,10.3844936031113,10.1367349498212,10.246090512927,10.3738912113466,10.3197584013752,10.2404329137063,10.1861019782839,10.2291735265538,10.1443490412012
"opgE",7.70682126977831,7.63431365193044,7.02063987602952,6.63513585330246,6.5779664366343,6.89826096293141,7.15220089924066,6.95948293571436,6.83898692740109,7.19489965274567
"opgG",12.0414182428106,12.0489512811005,11.1293793823181,10.9761765292682,11.1810403022576,11.3099831102373,11.2469289947969,11.1663170236533,10.3527171924352,10.4325139098327
"opgH",11.7743951965973,11.8961664951318,11.0611942393076,11.1259352919342,10.9786995305769,10.9559276766571,10.8379949824985,10.9384300620331,9.72947600796008,9.85214941373686
"oppA",13.9130434933245,13.6523322851419,14.6168764404369,14.626184728577,14.8024202962,14.9828916996205,15.3889840898125,15.3520265495642,15.6526564513445,15.9689124583688
"oppB",10.576761918836,10.5567396908524,10.0327519939262,10.096913303675,10.6674634865656,10.9189124936453,11.8440632485299,11.8534283289225,12.0390861254562,12.3285234763709
"oppC",9.64957972581027,9.78532970248198,9.56335598795274,9.50661479902308,9.49031965999399,9.63167114379748,10.7162358702696,10.7297330516886,10.633006003918,11.0323640658207
"oppD",10.1796426046345,10.1166806235484,10.3547285864993,10.4992875058389,10.2610660418554,10.2423507692937,10.7099870144484,10.8155632163418,10.5711587984197,10.9345405732843
"oppF",10.4660715424642,10.4291665680654,11.1795357036724,11.1758015152146,10.9981720254872,10.9761655619588,10.6467810920323,10.6740741158466,10.5760744743614,10.7722314544208
"orn",9.10396590031319,9.32421571874612,9.75467375801663,9.58780532329134,9.5548679612577,9.70208235944824,9.75388914297985,9.70022510812703,10.1718782981413,10.1492031080833
"ortT",7.07729253481131,7.17289431115375,5.37976485490589,5.24088707288097,5.57218087755538,5.41545606047423,5.42153003967525,5.24782083028629,5.7318847331388,5.91517906290781
"osmB",9.03807408034765,8.83032077416471,9.79604310159576,9.39072180059527,9.46814523715306,9.69199051711094,9.48777678290733,9.50375179123715,8.47375037431923,8.88910103100566
"osmC",10.9111852715363,10.4793661563655,10.6424251048933,10.8225313696058,10.9227353073856,11.0063391867354,10.998497083841,11.008563177276,9.87619601721235,10.5778433813737
"osmE",12.0064404476792,11.3736727126387,11.6416055375906,11.5898931886552,11.6709842800129,11.6433162603731,11.9235095848695,11.8886379670392,10.5907217930526,11.0010247069359
"osmF",9.13464886935418,9.06032845286326,9.20063653849956,9.37860336553318,9.41349287130037,9.23742925831339,9.05177521354509,9.06568170017824,7.83401812297678,8.38237579851912
"osmY",12.1956911201661,12.1046507746869,11.1980520734705,11.4317700787481,11.3799962416999,11.3628850291286,11.0776793816512,11.1160175056412,9.15972586510134,9.82813453092479
"otsA",11.152246467755,11.0363169042859,10.8447573462092,10.9508264438008,11.0968433891495,11.149024494492,10.9713245383629,11.0236959021488,8.9809643670414,9.67364235700784
"otsB",9.47430398770857,9.29024068167595,9.63876116007222,9.61129725582363,9.57160387903515,9.64044418264268,9.34181833853412,9.42424253473841,7.7609591311802,8.2475509182595
"oxc",5.96664810146122,5.75283631913675,5.92037712231165,6.02943010866121,6.28181606962027,6.13888001877494,6.32244390171442,6.16007294062256,6.40648991613269,5.98773299719222
"oxyR",10.24490735937,10.2655614673136,10.778035357629,10.6742875831261,10.634991853282,10.7386617539738,10.8243200347861,10.8834980081582,11.2692117918258,11.3528560355774
"paaA",5.01359125478421,4.46448199664062,3.93967129622323,4.4862466906237,4.85872891920244,4.26639775843677,4.82402875809723,4.91880888315628,4.7355409785042,4.48398213811439
