"","menF/ubiC KO, rep 1","menF/ubiC KO, rep 2","menF/ubiC KO adapted 1, rep 1","menF/ubiC KO adapted 1, rep 2","menF/ubiC KO adapted 2, rep 1","menF/ubiC KO adapted 2, rep 2","menF/ubiC KO adapted 3, rep 1","menF/ubiC KO adapted 3, rep 2","menF/ubiC KO adapted 4, rep 1","menF/ubiC KO adapted 4, rep 2"
"yeiB",9.76912400748367,9.50016518266967,7.8011769288735,7.72772627143539,7.85498384417927,8.25715637838245,9.62552456416874,9.57134003199188,7.6623263048001,7.48882677317595
"yeiE",8.15640793514427,8.08170474162679,9.03805301248726,9.10773657542079,9.1146661016695,9.18244178386638,7.77478320674469,7.50372445431708,8.7126940144073,8.66454840343032
"yeiG",9.95967346084417,10.0906313817067,9.38847383305488,9.61193232867833,9.21668763922099,9.36321149318788,8.93707719632198,8.77473330997082,9.14475994490921,9.10601670169261
"yeiH",7.92507798306921,7.66625287001741,7.28639593802078,6.98596740830444,7.66287647935402,7.27080208332898,7.19822730976682,7.28966041408246,7.17757786507689,7.13776981776819
"yeiI",8.31555636555744,8.22029762073603,8.87176671324128,8.92134373769958,9.07518290342162,8.94173833021213,8.01570744017234,8.15019617752762,8.33159092064701,8.28776726814484
"yeiL",4.2432252066759,4.23451008495381,4.64598940211271,3.84525529162436,4.13182605303223,4.31415792185697,3.45560316065251,3.0721506324417,3.87568560028394,3.83960398664315
"yeiP",9.67385856454562,9.65482808901803,8.8138619221649,9.06770305410499,8.83966601147528,8.89604105184277,10.4089079542658,10.2629311397332,9.30323894445362,9.29036081151934
"yeiQ",5.87380515192415,5.86821603291912,6.66925762499663,6.84417094081666,6.4459579951435,6.48347852297959,6.94505163706959,6.84755730945815,6.72733142013187,6.58864383398062
"yeiR",7.81414941162378,7.40718157692669,6.89773829576059,7.15927897488173,7.12491866022026,7.09158544491047,7.94464816640729,7.90866885549023,6.56783433016118,6.8587280310817
"yeiS",6.04091424453445,5.98814871002287,6.29436569415141,6.30908729022781,5.69703190547059,5.9212549555649,5.44495764991286,5.49348380646435,4.69341156061127,4.95243377693559
"yeiW",3.28712583963523,2.65371542930467,3.61751044834936,3.60515803720826,3.94140653951829,3.93809911010064,4.0047317237973,3.76364488056219,3.40922164310738,4.14296955372079
"yejA",8.28260255024565,8.42100903780138,8.45965901700533,8.4107284492305,8.42078532298426,8.50648949743277,8.26938522735515,8.25436144602953,7.74985173270767,7.70969112907417
"yejB",6.8269000739371,7.09115926005022,6.90942951420572,6.74608944060786,7.00994374571435,7.06267333051065,7.04357224985628,6.81585592823073,5.72434760483904,5.86429567009806
"yejE",7.36455574041035,7.22403254685593,7.20336089396184,7.02233612133909,7.42333431763835,7.27080208332898,7.04357224985628,6.79973997250657,6.0170140469861,5.7800273890354
"yejF",8.36361722303565,8.45883532885228,8.33951742702594,8.52917582214406,8.46945829658722,8.65589916732135,8.26938522735515,8.05159143635789,6.63836132517591,6.71873654507555
"yejG",8.99984349022939,8.76089642793387,7.06387100906514,6.98596740830444,7.04540881553624,7.03316968782765,8.51969163359265,8.35702491229673,6.66112386663724,6.40403834394765
"yejK",9.7037269528479,9.7029050506854,9.13333198290525,9.28280596800856,9.36438513488437,9.44201945793464,10.0410816134086,9.84302179151789,9.2213979286826,9.31860758520944
"yejL",9.35520856899174,9.29007864399358,9.10819512075764,9.1684844119829,9.23215668235095,9.29442655425805,9.61412131578429,9.63174515269632,9.28504218357449,9.26542477439071
"yejO",8.12886131518307,8.00423284448321,8.19419015397816,7.98888053260416,8.01855238928198,8.24434132912707,7.6641211468386,7.89356580802418,8.03324983284786,8.03432388498318
"yfaA",5.06227623114171,5.29130144197251,5.62524421606873,5.25774441772427,5.40055105999828,6.08367352553831,6.56378142561695,6.36846316795844,6.86113215015138,7.05062054413933
"yfaE",7.81414941162378,7.83556550285779,7.09491841231134,7.40860166674434,7.11382499485232,6.95140830472982,8.21607148257418,8.1753909306557,7.65667553709472,7.54091295259561
"yfaL",7.91972954849925,8.18562482898973,8.22725509999296,8.02517075981151,8.36106193415349,7.99687028399459,7.75830113843684,7.83152083921949,8.19402556283443,8.16453078053986
"yfaP",4.2432252066759,3.97734787442697,4.58862651583257,4.22855127499525,5.07323701820384,4.98576024408981,4.30944510835917,4.48849482455867,4.89974843683339,5.71342148194519
"yfaQ",4.37530744629613,5.17459772110584,5.03702367454999,4.93952552254421,5.57273959491737,5.28251943281762,5.40308056234162,5.22987940276601,5.61188278969293,5.64358195325962
"yfaS",6.20830025269502,6.14086170275147,6.55479589756082,6.30908729022781,5.8114351244915,6.19449534461887,6.04389888751564,6.25480440842155,6.38846815584295,6.51240279503169
"yfaT",2.56524737823882,2.88594073465545,3.04384292894708,2.94065610575327,3.13232336809183,2.79041319903296,4.0047317237973,3.28105324734006,3.51606852007283,3.75221380037365
"yfaU",5.4372690120281,5.36414578004901,5.50693204687565,5.58451821122946,5.4366786470266,5.02639240178396,5.31547617706746,5.90893656416085,5.48987176013509,5.71342148194519
"yfaV",4.17224959413337,4.85847425492088,5.37800198150799,4.77803487001882,4.7088545225423,4.66354976990818,4.89919291297752,4.96588045742229,5.24016943358131,4.74507481144732
