"Gene","logFC","adj.P.Val","P","SignedZ"
"yeeL",-0.156368837773907,0.855986708455979,0.855986708455979,-0.181485251593222
"ddpD",0.124014683873792,0.855986708455979,0.855986708455979,0.181485251593222
"ycjF",0.105871189371534,0.855986708455979,0.855986708455979,0.181485251593222
"yciO",0.0752260479238413,0.855986708455979,0.855986708455979,0.181485251593222
"glnE",-0.0450529400533801,0.855986708455979,0.855986708455979,-0.181485251593222
"mcrA",-0.137353027058746,0.857471361456213,0.857471361456213,-0.179593941339439
"folM",0.0688421165687011,0.857471361456213,0.857471361456213,0.179593941339439
"ompN",0.219460156730547,0.857786412291578,0.857786412291578,0.17919267863067
"yohP",-0.2628142194029,0.858508748152028,0.858508748152028,-0.178272788450805
"ydbL",0.152653714309437,0.858508748152028,0.858508748152028,0.178272788450805
"murF",-0.136747073666603,0.858508748152028,0.858508748152028,-0.178272788450805
"yobB",0.227512657989488,0.859419854623854,0.859419854623854,0.177112715085599
"csgI",-0.217301606784229,0.859419854623854,0.859419854623854,-0.177112715085599
"ygiQ",-0.200855929754178,0.859419854623854,0.859419854623854,-0.177112715085599
"ygfK",-0.191836496824017,0.859419854623854,0.859419854623854,-0.177112715085599
"apaG",-0.137448599510939,0.859419854623854,0.859419854623854,-0.177112715085599
"atpA",-0.123949563022879,0.859419854623854,0.859419854623854,-0.177112715085599
"bcsA",-0.0888677562589488,0.859419854623854,0.859419854623854,-0.177112715085599
"ugd",-0.0858225538334646,0.859419854623854,0.859419854623854,-0.177112715085599
"yjdI",0.203637218901968,0.8594526346487,0.8594526346487,0.17707098211637
"yghS",-0.190164594136155,0.8594526346487,0.8594526346487,-0.17707098211637
"yohF",0.187075949126037,0.8594526346487,0.8594526346487,0.17707098211637
"lhr",-0.179907395889337,0.8594526346487,0.8594526346487,-0.17707098211637
"queE",0.0852884203093978,0.8594526346487,0.8594526346487,0.17707098211637
"etk",-0.0698349489048175,0.8594526346487,0.8594526346487,-0.17707098211637
"nudF",0.0530816143127759,0.8594526346487,0.8594526346487,0.17707098211637
"sspB",0.0500245551341485,0.8594526346487,0.8594526346487,0.17707098211637
"truB",0.108031469899617,0.859601146640717,0.859601146640717,0.176881912101633
"phnM",0.266856589405886,0.859888685735581,0.859888685735581,0.176515865211684
"ymfA",0.214795463368488,0.859888685735581,0.859888685735581,0.176515865211684
"uspB",-0.202365797714031,0.859888685735581,0.859888685735581,-0.176515865211684
"yadL",-0.202061110096239,0.859888685735581,0.859888685735581,-0.176515865211684
"ydfJ",-0.187831612980688,0.859888685735581,0.859888685735581,-0.176515865211684
"setC",0.169196894697579,0.859888685735581,0.859888685735581,0.176515865211684
"pdeB",-0.145488581009662,0.859888685735581,0.859888685735581,-0.176515865211684
"ppdB",0.128367230145118,0.859888685735581,0.859888685735581,0.176515865211684
"cho",-0.10746147913208,0.859888685735581,0.859888685735581,-0.176515865211684
"envC",-0.0779301851974807,0.859888685735581,0.859888685735581,-0.176515865211684
"rpiA",0.0617024174815942,0.859888685735581,0.859888685735581,0.176515865211684
"insC3",0.106165410692527,0.861444695768285,0.861444695768285,0.174535421314171
"dnaJ",0.155483778155121,0.861817776223707,0.861817776223707,0.174060677480356
"pgl",0.123653301544813,0.862041063026747,0.862041063026747,0.173776564420599
"mglA",0.401529393369024,0.86209179510516,0.86209179510516,0.173712014214336
"menB",-0.15001962831166,0.86209179510516,0.86209179510516,-0.173712014214336
"ygcQ",0.140212850698463,0.86209179510516,0.86209179510516,0.173712014214336
"matP",0.101579847987197,0.86209179510516,0.86209179510516,0.173712014214336
"plsY",-0.0986989820426929,0.86209179510516,0.86209179510516,-0.173712014214336
"gsiC",-0.116679258922938,0.862551354633361,0.862551354633361,-0.173127315299133
"aaeX",-0.182518032351601,0.862854991922223,0.862854991922223,-0.172741029181236
"ycfH",-0.131955131405262,0.862854991922223,0.862854991922223,-0.172741029181236
"nadE",0.093135463376668,0.862854991922223,0.862854991922223,0.172741029181236
"yecD",0.0705043846284415,0.862854991922223,0.862854991922223,0.172741029181236
"rzpD",0.187241767444109,0.862899437688335,0.862899437688335,0.172684487623208
"yfdK",0.178642749889008,0.862899437688335,0.862899437688335,0.172684487623208
"queA",-0.177942511989702,0.862899437688335,0.862899437688335,-0.172684487623208
"livG",0.137266403653177,0.862899437688335,0.862899437688335,0.172684487623208
"rplJ",-0.111600985319964,0.862899437688335,0.862899437688335,-0.172684487623208
"ldtA",-0.104305747226679,0.862899437688335,0.862899437688335,-0.172684487623208
"pdxK",0.0888380848311984,0.862899437688335,0.862899437688335,0.172684487623208
