"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gabD",-1.2217162441485,7.3390871840999,-5.17254225944051,1.93498755761391e-05,0.000764320085257496,2.73103876444576
"rdcA",-1.00730962206116,6.38024156458515,-5.11120473486148,2.28066303680761e-05,0.000854265594390438,2.57088944011236
"gatZ",-1.33230946575479,11.6093720861322,-5.06435404636942,2.58590286323926e-05,0.000933399402628724,2.44854520440769
"gatB",-1.86179902047861,10.8131764316362,-4.89370456050784,4.08737494614694e-05,0.00123330862090337,2.0029605101255
"yaiP",-1.11977759565077,5.40437785824604,-4.84734951772363,4.62885585705327e-05,0.00132318280913793,1.88198377353283
"gabP",-1.22200306830886,6.20936532164407,-4.78836141116076,5.42283864546075e-05,0.00144553582297711,1.72810892999981
"katE",-1.3060923953388,7.93291384106341,-4.7123207182954,6.65028598241841e-05,0.00167224939613634,1.52990747896954
"flgB",-1.3189440035476,6.85396205087052,-4.59050376598293,9.21969113879124e-05,0.00218832383469882,1.21288858679445
"flgE",-1.33867386750014,7.08038681721592,-4.21308139915282,0.000252773002182636,0.00439378699423257,0.237095353933499
"msyB",-1.98753669717491,9.83772420297541,-4.12245570865848,0.000321608079886757,0.00525333498912767,0.00486627845874743
"ydiZ",-1.67678347953205,8.91538575028954,-3.90254098963394,0.0005750958975682,0.00785783545576676,-0.554020253960323
"sra",-2.06398910906419,10.7495473208558,-3.89422454078763,0.000587814328718459,0.00800643654633764,-0.575008181376466
"gatC",-2.16069406058671,9.90059542060931,-3.70041070294255,0.000976125024168055,0.01099348288822,-1.06056434131919
"yahO",-3.11192288528128,7.1428174249951,-3.68653952273978,0.00101199723678234,0.0111886208494128,-1.09503261108095
"adhP",-1.32499465039478,7.76756793286573,-3.55026136653002,0.00144025453594551,0.014287456526674,-1.43141762288283
"aceA",-1.31467770603062,9.59831837284422,-3.54833478937065,0.00144742444010954,0.0142933163460818,-1.43614240947285
"yeaG",-2.61233363163181,7.7426610886041,-3.49518446926062,0.00165949620631675,0.0156750239487963,-1.56613158992815
"osmY",-1.62545427802374,8.89002562308202,-3.45186767256661,0.00185437579751358,0.0168915363526132,-1.67154479218953
"poxB",-1.22935205532931,7.65249993100886,-3.41553113636525,0.00203480997453788,0.0180990239384309,-1.75959237768684
"ycgB",-1.52735334774263,6.97267390838516,-3.39891313496041,0.0021228893525457,0.01855926405797,-1.79974129623657
"yqjC",-1.53082976231625,9.71438282375877,-3.31716751591589,0.0026126676877082,0.0211397413465403,-1.99611435360901
"wrbA",-1.36516544883206,9.24121932150088,-3.29364558205625,0.00277273077842256,0.0217072346526955,-2.05226208394937
"yjdI",-1.037813117308,7.54937453055419,-3.28054191117134,0.00286595755887886,0.0222367599880869,-2.08346945816975
"lamB",-1.44453519666135,8.25074459585691,-3.17873586604757,0.00370040620209701,0.0262309919816354,-2.32411860826819
"yqjD",-1.34587056780521,10.5735493577871,-3.16592976154055,0.00382059575354853,0.0266888883427144,-2.35415504564272
"nlpD",-1.15798833499802,10.8030413373587,-3.15587790196142,0.00391754977048165,0.0271788218402274,-2.37769355802442
"sodC",-1.07927875241629,7.48018275162713,-3.08456826992562,0.00467622375506049,0.0305996870718943,-2.54370002095619
"psiF",-1.66117556581263,7.61362629593955,-2.99232574912613,0.00586748699155779,0.0349236040798885,-2.75577952405565
"tktB",-1.39272240819828,7.86594292445293,-2.98700115672244,0.00594441580715055,0.0351886739537727,-2.76792630021942
"gatA",-1.38787237842815,10.6165528842356,-2.89032650904575,0.0075193938295214,0.041620084317542,-2.98657498924495
"tdcD",-1.00139080657805,6.46014532042087,-2.88047895664307,0.00770035544939855,0.042351954971692,-3.00864082331802
"glpF",-1.88589100447993,10.4644327788842,-2.79968906101007,0.00934835074779538,0.0484130917749356,-3.1881689912814
