"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","P","SignedZ"
"yehX",-0.712332772200301,7.17256135860743,-4.91098747500688,3.90212535347671e-05,0.00118564578047946,2.04807517535134,0.00118564578047946,-3.24231095817497
"gatB",-1.86179902047861,10.8131764316362,-4.89370456050784,4.08737494614694e-05,0.00123330862090337,2.0029605101255,0.00123330862090337,-3.23106274735784
"yzgL",0.703277195433658,6.23086284110888,4.88706593430729,4.1608492009901e-05,0.00124209044820237,1.98563260546516,0.00124209044820237,3.22903418870878
"ybeR",-0.808937371395702,4.54068861820178,-4.88592111915596,4.17365259925306e-05,0.00124209044820237,1.98264452799209,0.00124209044820237,-3.22903418870878
"proM",2.22414664551709,9.18611428903775,4.87808323454583,4.26237515336986e-05,0.00125359911187985,1.96218753519388,0.00125359911187985,3.22639570251348
"ydfU",-0.53992608660909,5.76388968661232,-4.87741493119899,4.27002689432033e-05,0.00125359911187985,1.96044330639004,0.00125359911187985,-3.22639570251348
"b0690",-0.860870152987416,6.15269275718084,-4.87481294084011,4.29994952269094e-05,0.00125391145477128,1.95365235938026,0.00125391145477128,-3.22632440672429
"b1933",-0.734453172518558,4.33277894075665,-4.86203054796877,4.4500199955984e-05,0.001289022458725,1.92029345848506,0.001289022458725,-3.21841260465878
"ybhI",-0.830085609666965,5.34819303030652,-4.85160384526572,4.57630494373106e-05,0.0013168241708948,1.89308482512845,0.0013168241708948,-3.2122877352071
"yaiP",-1.11977759565077,5.40437785824604,-4.84734951772363,4.62885585705327e-05,0.00132318280913793,1.88198377353283,0.00132318280913793,-3.21090367265238
"lacY",-0.710295120133284,6.44964447723176,-4.83877793971749,4.73657474880026e-05,0.00133790796046475,1.85961872756307,0.00133790796046475,-3.20772191596045
"ycfT",-0.764762608176683,5.0282978656936,-4.8383551553948,4.74195226493836e-05,0.00133790796046475,1.85851563862863,0.00133790796046475,-3.20772191596045
