"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","P","SignedZ"
"fliD",-1.80739064333334,11.9725397583333,-7.02991907853959,0.000146612626507267,0.00463488026411261,1.21235974101633,0.00463488026411261,-2.83137184791419
"flgF",-1.18377402,13.6095397033333,-7.02310562947627,0.000147558554381347,0.00463488026411261,1.20542730050696,0.00463488026411261,-2.83137184791419
"yfhL",-0.970675158000002,9.39041964633333,-6.98791381383881,0.000152553986357817,0.00475629428577816,1.16953576253879,0.00475629428577816,-2.82309185232422
"clsB",-0.995650356000001,7.80799990533333,-6.9778401581459,0.000154018445169574,0.00476664438028482,1.15923548341962,0.00476664438028482,-2.82239489307964
"rnpA",-1.97490033333333,12.3162503333333,-6.96850572387866,0.000155389445304584,0.00477397208238682,1.14968056667428,0.00477397208238682,-2.82190228465616
"loiP",1.08096536066667,9.756283593,6.95436071465974,0.000157493013702283,0.00480353691791964,1.13518218587258,0.00480353691791964,2.81992169850872
"ycgR",-1.87480110666667,11.73985943,-6.92637767840114,0.000161748698871288,0.00482013855363598,1.10643152653634,0.00482013855363598,-2.81881436487329
"evgS",-0.995194192666668,7.679864651,-6.9262601996488,0.000161766833303409,0.00482013855363598,1.10631063276955,0.00482013855363598,-2.81881436487329
"osmE",-1.43599519666667,11.8824306983333,-6.9237246586723,0.000162158781264663,0.00482013855363598,1.10370099302687,0.00482013855363598,-2.81881436487329
"dgcZ",1.460344938,9.60224253233333,6.92076183211592,0.000162618121790522,0.00482013855363598,1.10065062965646,0.00482013855363598,2.81881436487329
"b2596",1.255100825,8.4949201825,6.8409471626141,0.000175555036167846,0.00513431380402003,1.01809046991013,0.00513431380402003,2.79848384311571
"yqjK",-1.12525260333333,10.6042602283333,-6.84034318836336,0.000175657207835325,0.00513431380402003,1.01746286028274,0.00513431380402003,-2.79848384311571
"sdaA",1.36151229466667,9.81613371266667,6.8294106521754,0.000177518121060833,0.00515292256237963,1.00609504046478,0.00515292256237963,2.79731526352084
"btuD",-0.898659245666668,8.9807785945,-6.82104029701387,0.000178957758774475,0.00515913155261483,0.99738185008734,0.00515913155261483,-2.79692620421498
"alaA",-1.064379451,8.9132689045,-6.78468465266278,0.000185363461060377,0.00530744767076958,0.959440603432096,0.00530744767076958,-2.78775615349534
"mqo",-1.297343472,10.6764478573333,-6.76459331113712,0.00018901280712103,0.00537537098089471,0.938405456160018,0.00537537098089471,-2.78363365826908
"yhcO",-1.02550179933333,8.50059631866667,-6.75321892461909,0.00019111426727892,0.0053986573891072,0.926475359968423,0.0053986573891072,-2.78223115069799
"yedL",1.40133404866667,8.49206615633333,6.69770439993507,0.0002017514569651,0.0056611458824407,0.868025728257221,0.0056611458824407,2.76678856127949
"gcd",-0.938512170000001,9.84852272166667,-6.67520917148119,0.000206248208638715,0.00574899808053212,0.844235361805827,0.00574899808053212,-2.76176420728278
"pyrI",-1.54948682333333,13.3166991116667,-6.60165119783718,0.000221749815633741,0.00610732099967215,0.766013236119871,0.00610732099967215,-2.74196305734139
"flgN",-1.28559382,12.11453305,-6.60048751700921,0.000222005253730064,0.00610732099967215,0.764770462517877,0.00610732099967215,-2.74196305734139
"pncB",-0.942689133333335,11.63492191,-6.57585068128622,0.00022749087453776,0.00621759149954178,0.738420138346921,0.00621759149954178,-2.73607996487815
"carB",-1.07535476,12.8130338933333,-6.55689754768982,0.000231813693366508,0.00624030487402312,0.718098046110191,0.00624030487402312,-2.734879852998
"fpr",-0.792517113333336,11.1690206,-6.54715188576226,0.000234072011236079,0.00624030487402312,0.707631236314724,0.00624030487402312,-2.734879852998
"oppD",-1.24316158333334,11.223919215,-6.54068118909005,0.000235584958238839,0.00624030487402312,0.700675252773401,0.00624030487402312,-2.734879852998
"yqcC",1.36622253733333,9.02678134466667,6.53657703775068,0.000236550210078721,0.00624030487402312,0.696260618680346,0.00624030487402312,2.734879852998
"chaC",0.924357616666666,9.116469454,6.53409710428928,0.000237135596248771,0.00624030487402312,0.693592066684579,0.00624030487402312,2.734879852998
"puuE",1.12250115533333,8.39523805833333,6.53375034621441,0.00023721757658439,0.00624030487402312,0.693218874307915,0.00624030487402312,2.734879852998
"dppB",-0.968579950000002,11.4012492983333,-6.521246232829,0.000240194970842645,0.00627938280917201,0.679751595012604,0.00627938280917201,-2.73282425572262
"fliH",-1.33851720333334,11.008389135,-6.4988342366852,0.000245636194364768,0.00638199223506981,0.655564742620121,0.00638199223506981,-2.72748105448827
"fliM",-1.83541745666667,13.152549675,-6.48686340803646,0.000248598584788016,0.00641933400842183,0.642620346980678,0.00641933400842183,-2.72555572143229
"msyB",-1.31986095366667,9.38500803816667,-6.45163830547928,0.000257548738786417,0.00660928297106428,0.604426821901754,0.00660928297106428,-2.7159152739803
"ybgA",-1.13984022666667,8.446311099,-6.44569001149747,0.000259095198438015,0.00660928297106428,0.597961960356298,0.00660928297106428,-2.7159152739803
"flgH",-1.37783433,11.3716547083333,-6.41910569067143,0.000266134081485279,0.00674794186127433,0.56901476030501,0.00674794186127433,-2.70903402766552
"cysU",1.32975421666667,12.4888642983333,6.41126716948689,0.000268249939345927,0.00676086224375454,0.560462584849498,0.00676086224375454,2.70839931630039
"thrA",1.58344242666667,14.9997126866667,6.34029476246939,0.000288282460543786,0.00713153184858117,0.482675473340505,0.00713153184858117,2.6906390025975
"yahN",0.887802074333332,7.65736173616667,6.3383730226559,0.000288847538336471,0.00713153184858117,0.480560334411683,0.00713153184858117,2.6906390025975
"fliO",-1.27202795733334,9.101028417,-6.32971273809904,0.000291409373853155,0.00713153184858117,0.471022672002259,0.00713153184858117,-2.6906390025975
"yncJ",1.12846657333333,7.99753932,6.32765026084338,0.000292023201159874,0.00713153184858117,0.468749836797179,0.00713153184858117,2.6906390025975
"der",1.19790091,13.8429574116667,6.32653102970159,0.000292356904321309,0.00713153184858117,0.467516225339032,0.00713153184858117,2.6906390025975
"b3913",0.752230909999999,15.377294385,6.32396668866264,0.000293123071942158,0.00713153184858117,0.464689218761799,0.00713153184858117,2.6906390025975
"qmcA",1.088702918,9.555623452,6.29817268167718,0.000300955113377179,0.00728000041496866,0.436206482013667,0.00728000041496866,2.68375697324982
"dgcE",-0.756599879000001,9.04766942516667,-6.28136935076834,0.000306182247342191,0.00733302347654385,0.417605853949431,0.00733302347654385,-2.68132967008614
"yqcE",0.855582608666666,8.283504311,6.27993995446492,0.000306631535251062,0.00733302347654385,0.416021899459476,0.00733302347654385,2.68132967008614
"pdxA",-0.858226606666668,12.1073816666667,-6.27185606898343,0.000309186290765598,0.00735234518549378,0.407058986746188,0.00735234518549378,-2.68044906934153
"yfeX",0.717882179999999,11.1196911866667,6.25337695344125,0.00031511555665798,0.00745124369647999,0.386538975179424,0.00745124369647999,2.67597394763809
"yicG",1.12696829066667,7.94022758,6.24147612102134,0.000319000931779448,0.00748848766555099,0.373300525036178,0.00748848766555099,2.67430247074333
"asnA",1.17705480333333,12.3209797783333,6.23729788752869,0.000320377638180319,0.00748848766555099,0.368648343719692,0.00748848766555099,2.67430247074333
"alx",0.786935933,9.95781793683333,6.23231503645686,0.000322028098708655,0.00748848766555099,0.363097332125721,0.00748848766555099,2.67430247074333
"rnlA",-0.83914033,11.3020494316667,-6.2177521985361,0.000326906112733996,0.0075231592220152,0.346855623326076,0.0075231592220152,-2.6727531283808
"argD",1.01980686666666,10.16054201,6.21719647342536,0.000327093879218052,0.0075231592220152,0.346235288957039,0.0075231592220152,2.6727531283808
"yajI",0.905058125666665,8.32481257516667,6.2111654836721,0.000329139332300561,0.00752906222637533,0.33950056076025,0.00752906222637533,2.67248998323632
"ppsA",1.18203085666667,12.0741710483333,6.15679997033982,0.000348232771222742,0.00792276613014336,0.278578416901168,0.00792276613014336,2.65534360698476
