Name,Score,FDR
yddA,0.1045839952281695,1
cas2,0.10522556910156829,1
speD,0.10555574300934083,1
gloA,0.1061320754716981,1
ldhA,0.10701929067283732,1
waaA,0.10732578117347197,1
marA,0.10751790953706605,1
fxsA,0.10776451391321636,1
sdhC,0.10794101519212343,1
speF,0.10800895512296459,1
cspH,0.10837106845970917,1
waaC,0.10850747227530388,1
ycfK,0.10876803551609325,1
tcyN,0.10877899166027155,1
dgkA,0.10882487425697301,1
betT,0.10894685036277418,1
lpxT,0.10926624034387677,1
citD,0.10944800511455395,1
gloC,0.10969421423649969,1
sdhB,0.10983524712930605,1
uvrY,0.11080229544137822,1
malP,0.11093529510935933,1
ydhS,0.11108744785184671,1
yibA,0.11111111111111115,1
ghxP,0.11141814589495166,1
lit,0.11155118396988281,1
mlaC,0.1116055535777857,1
zapB,0.11217652398391349,1
astD,0.11219073685932841,1
drpB,0.11227736812012631,1
mepK,0.11269594879056616,1
accC,0.11327123595146683,1
trpA,0.11368846249026235,1
uvrC,0.11397066680884685,1
cysJ,0.11436314363143633,1
eutE,0.11468738438771738,1
abgB,0.11472509229116201,1
stpA,0.11594206772133739,1
rbsR,0.11608797487742424,1
ydgJ,0.11612547339097637,1
flhE,0.11686587893070671,1
thiI,0.11765215921169615,1
ridA,0.11776606861101999,1
osmF,0.11871257409801678,1
spy,0.11882022400191834,1
ydiO,0.11924104552716738,1
cysA,0.119566689433832,1
rlmH,0.1199031046594629,1
ypdA,0.11991584852734921,1
lpoB,0.12003672123442102,1
b2337,0.12023677395486498,1
yahC,0.12094069578354519,1
stfE,0.12097669256381798,1
narX,0.12151776915305179,1
gpmM,0.12151803119387687,1
yecJ,0.12177102486698896,1
cspG,0.12188158561605973,1
pncB,0.1219877118066604,1
yaiS,0.122456529781724,1
yccX,0.12271968707508393,1
cvpA,0.12292863981611857,1
ybdZ,0.12299954275262917,1
ynfC,0.1231150963215833,1
ybhL,0.12382075471698115,1
yggL,0.12445126625104125,1
ycaP,0.12481510067086776,1
lrhA,0.12482468443197753,1
eutM,0.12504624491305957,1
paaI,0.12541620421753608,1
punC,0.12565784150327067,1
nmpC,0.12576641777224332,1
pdhR,0.12598032728207104,1
argH,0.12680978532201698,1
yedJ,0.12687008685857146,1
hdeD,0.1281169755948146,1
ydcU,0.12815136100033575,1
bipA,0.12838854502401398,1
bioD,0.12856887132781458,1
menF,0.12876221567354754,1
sdhA,0.12880678981527707,1
yedP,0.12895865332478207,1
tcyJ,0.12923583111169862,1
rlmC,0.12926718272773882,1
sfmD,0.12953721964427792,1
yodD,0.12963553075089684,1
accB,0.13007037655380407,1
yeaW,0.13057686384297684,1
cspI,0.13059632037442567,1
yciN,0.13108504163070633,1
ydcR,0.1313639726852107,1
ypeC,0.13145172104066424,1
yajG,0.13170259588151478,1
proX,0.13191682755503775,1
ymfN,0.13355530891601924,1
purK,0.13376363014192577,1
mlc,0.13379930104842735,1
fruA,0.1340772570204359,1
gatB,0.1340938012293621,1
ydcF,0.1342534205829863,1
wcaM,0.13529637577827294,1
b2680,0.13668593384065525,1
bioF,0.1367751409760881,1
fimC,0.1380036145637961,1
yhbX,0.13821476789564532,1
pstS,0.1383529769898153,1
treA,0.1386743538929095,1
yahO,0.13926517964825555,1
ydcV,0.14003164318642877,1
mreC,0.14118188992900196,1
alaA,0.1413598168595186,1
grxB,0.14146318236770247,1
fliJ,0.14158203481177273,1
ycaI,0.14206437291897892,1
codA,0.14214130833340832,1
ypdB,0.1423562412342216,1
yobF,0.14282187637062843,1
relA,0.1433808506106741,1
