"Gene","SignedZ"
"grxB",-3.79584783582457
"folD",-3.79418951881059
"trmO",-3.79371934602961
"mglC",-3.79292643022988
"nanS",-3.79012196748958
"lldD",-3.78624952435803
"manA",3.78339571757418
"nuoH",3.78317306111729
"pgk",3.77887792020637
"gadX",-3.7786822209695
"dacA",-3.77835554510132
"setB",3.77811139914999
"sseA",3.77338979932057
"hslJ",-3.77078814746753
"gloB",-3.76967134595386
"nudJ",-3.76931713943925
"recX",3.76929933042947
"nuoJ",3.76310283628063
"torT",3.75762632773295
"yfeD",3.7554469845038
"yggL",-3.75035994597365
"codA",-3.74948796933097
"yhdH",3.74731459006909
"ptsA",3.74549975866382
"yggU",-3.74490885169035
"rcnR",-3.74206250639012
"dsbB",3.73988372067853
"yfbU",3.73796172537639
"ydiH",3.73215273004986
"pldA",-3.73065506512995
"letB",-3.72595415990725
"yccS",-3.72521583318214
"yiiX",-3.72466885901666
"yhbY",-3.72380597189152
"yfcA",-3.71881491327826
"yfjW",-3.71524782739153
"priA",-3.71182893152779
"rseP",-3.7087189549009
"yoaB",-3.70495762396081
"ynfF",3.70346055442266
"cdsA",-3.69263173764518
"glsA",-3.69190047076562
"gutQ",3.69187404368531
"ilvB",-3.69171750300078
"kdgK",3.6914569600877
"ycfP",3.6898925901611
"yggI",-3.68799908367648
"yobD",3.6874614378077
"rnk",3.68555243433818
"fecE",-3.68509409175692
"yeaY",-3.68214793876337
"mdtA",-3.67659002403242
"ybiY",3.67650103995911
"fadE",-3.67588133083878
"ftsB",-3.67315338755023
"rhmD",3.67189063931655
"cvrA",-3.6690403417781
"yfdF",-3.66455979994282
"tusD",-3.65870489482178
"appB",-3.65792464084669
"yhaL",3.65698074680345
"yfhL",-3.65544177734642
"yjjG",-3.65357787238439
"narI",3.63460147704599
"yneG",-3.63059959445452
"yhfZ",3.62941551540146
"insH8",3.62547759484674
"dgcP",-3.61307004675828
"chbG",3.61235957800777
"ibaG",-3.61094221089528
"ubiG",-3.60565123089463
"rpsA",-3.60459177624219
"nikE",3.59902832151524
"yidR",3.59603079222507
"kduD",3.59535990942074
"yfaX",3.59496341642097
"yfgJ",3.59402631971863
"fadR",3.59254236111566
"narJ",3.59173515805718
"thiD",-3.58995517858175
"paaK",-3.58955088585614
"yjiJ",-3.57852071980681
"yihX",3.57470813706512
"nuoM",3.56583463231161
"yojI",-3.56551454079772
"ycjY",-3.56315001403567
"phr",-3.56159853442001
"folA",-3.55896761563246
"yhgF",-3.55774547587976
"yihL",3.55673532708086
"hipA",-3.55558318081897
"nuoA",3.55382219129578
"oxyR",3.55293807720424
"era",-3.54973960126421
"lolB",-3.54903671360154
"epmC",-3.54842186353378
"proB",3.54499385436241
"ubiF",3.54324754557716
"ilvM",3.54235313709264
"rng",-3.53760806763005
"yceH",3.53750723659144
"nanM",-3.53295091977726
"rsfS",-3.53117617890046
"cdd",3.52396716270067
"aroA",-3.52110656995914
"hemW",-3.51928115319675
"cueO",3.5168621343331
"gadE",-3.51622589357004
"mokC",3.51296911946737
"yeiH",-3.50996769098054
"srlB",3.50952153400832
"lhgD",-3.50931671132993
"arcB",3.50802723494366
"yeeY",3.50130211660544
"metG",-3.50120487612911
"ysgA",-3.49906170916912
"ycjG",3.49890751584069
"ymfE",-3.49676345234638
"yfcL",-3.49637161995999
"cobB",3.49343634986583
"kefF",-3.49315476761831
"katE",-3.49301095372125
"glpA",3.48995914977753
"pqqL",-3.4886257729081
"pyrH",-3.48061110581399
"ydfO",3.47004862731827
"gltP",3.4692554289038
"asnA",3.4683371957472
"ydeN",3.46700761589015
"trkG",-3.46499389547048
"dctR",-3.46382372415457
"yghF",-3.4623300565314
"sufC",-3.46086659809324
"sbcC",-3.457034216594
"pdxJ",3.45469050318311
"msbA",-3.45403070004156
"damX",-3.45365430179943
"fliZ",-3.44451237998069
"tyrB",-3.44158673182332
"clcB",-3.43755606454873
"nudL",-3.43673845815114
"malG",3.43466631209579
"nrfC",3.43244863414671
"yehE",-3.42992786038642
"lpxA",3.42660651161581
"ypjF",-3.42578413492832
"hisH",3.42469100731
"ybgA",-3.42364015410323
"mdtH",3.42088060267621
"rimK",-3.42038771426883
"menE",-3.41891113109427
"guaB",-3.41508701560688
"thrP",-3.41042757896901
"insB2",3.4098055775755
"dppB",3.40810314122266
"topB",-3.39875470941449
"yfaA",3.39564310697542
"tmcA",-3.38743078596128
"ampE",3.3831727552777
"nuoE",3.37844227320171
"rnb",-3.37602010429127
"tsaB",-3.374920753715
"yadS",-3.36806192810933
"hmp",-3.36747642994653
"pppA",-3.36727712253933
"cynR",-3.36600202121401
"yidB",-3.3656862421132
"citC",3.36417326561572
"rsmF",-3.36289819588744
"evgA",-3.35924247772231
"fadJ",-3.3584237874481
"yaaY",3.35667564667054
"tmaR",3.35317168571569
"caiA",3.35261268768725
"metI",-3.34662880206774
"trmH",-3.34232923485757
"smf",3.33618631928093
"yagJ",3.33607232002878
"murP",3.33560253885464
"nuoI",3.33496127623334
"ycaP",-3.32940373492304
"rcsC",-3.32914539855903
"nuoN",3.32571912363644
"yciT",3.32463603374387
"emrB",-3.32061724687832
"yggS",-3.32058403808128
"glnB",-3.31879275090632
"yfcF",-3.31697482358018
"yfjV",-3.31613200825757
"pepP",3.31345999247474
"ybhC",-3.31337538189911
"sppA",-3.31044860839094
"miaB",-3.30980362407033
"yqeG",-3.30172688708276
"rseB",-3.2988302857202
"prmB",-3.29747903724918
"thiL",-3.29421008300064
"thiK",-3.29370899264582
"yecA",3.29305566390508
"ybeX",-3.288951557585
"ccmB",3.28861015531648
"exuR",3.28565753909876
"recG",-3.28488549056934
"znuA",-3.2825364293624
"fimD",-3.2815857588701
"marB",-3.27642247925987
"ycaC",-3.27607012177789
"ulaG",3.27599314733794
"yihG",-3.27572956563886
"gatB",3.27312140301038
"aer",-3.26857188988964
"yoaE",-3.26787133362205
"srmB",-3.26749573824209
"gntT",3.26680465053314
"yhjB",-3.26390773095466
"yffS",3.26262469743976
"thrS",3.25983094232504
"yjdM",3.25976573264349
"mlc",3.25508710929178
"lamB",3.25364814800693
"yciG",-3.2534377510436
"pncB",-3.25121437482286
"yicC",-3.24830289939306
"uraA",-3.24342172103937
"ompT",-3.2354989083279
"tauD",3.23537736167353
"ydhV",3.23507765781047
"ybhA",-3.23346308527703
"tdcB",3.232046070222
"yddA",-3.22771354553221
"ogt",3.22536434383326
"yccF",-3.22518849059097
"yahN",3.22423674046287
"insA5",3.22327204588635
"prfB",-3.22314821462927
"ldtB",-3.2219011955365
"parC",-3.22063114603319
"mepA",-3.22061108083802
"accD",-3.21956007711539
"ybiI",-3.21758339169468
"insH11",3.21529335550257
"prmC",3.21111423247714
